"","x"
"3622","鮮蝦菜苗餃
3顆"
"3623","鮮蝦金魚雲吞
4顆"
"3624","皮蛋瘦肉粥
這還需要介紹嗎？覺得空虛寂寞有點冷的時候就選這個來吃吧！"
"3625","港式利賓納
沁涼到心頭的汽水當基底，加入滿滿維他命C的黑嘉栗，酸好喝又養顏美容。"
"3626","港式凍奶茶
有時候就是想要來一杯口感滑順"
"3627","港式凍檸茶
香港風味檸檬茶，喝之前請記得要多戳檸檬片幾下喔！"
"3628","咸檸檬雪碧
天氣熱容易脫水，適量補充鹽分是好的，更用說咸檸檬雪碧口味獨特，您一定要嚐嚐！"
"3629","凍檸檬樂
雋永的樂配上新鮮檸檬片，減低了樂的膩，增添了夏天的風味。"
"3630","手採阿里山金萱烏龍【熱】
白花類香氣中有著果香，也喝的到醇厚奶香。"
"3631","手採梨山紅烏龍【熱】
新鮮花香，果香上揚。"
"3632","牛丼【中】"
"3633","牛丼【大】"
"3634","牛丼【特盛】"
"3635","豚丼【中】
採用台灣本土高級豬肉，油花分布均勻且肉汁飽滿豐富，肉質柔嫩味美健康自然，搭配高洋蔥及獨特的秘傳配方熬煮；豚肉在烹製過程中將多餘油脂除提升豚肉美味，再盛裝於熱騰騰的特選米飯上，獨特的豚肉滋味，除令人回味窮深受顧客歡迎外，更是吉野家除了牛丼外另一種特有的道地風味。"
"3636","豚丼【大】
採用台灣本土高級豬肉，油花分布均勻且肉汁飽滿豐富，肉質柔嫩味美健康自然，搭配高洋蔥及獨特的秘傳配方熬煮；豚肉在烹製過程中將多餘油脂除提升豚肉美味，再盛裝於熱騰騰的特選米飯上，獨特的豚肉滋味，除令人回味窮深受顧客歡迎外，更是吉野家除了牛丼外另一種特有的道地風味。"
"3637","雞丼【中】
使用精選骨雞腿肉，並使用鐵板以高溫快速煎製，在煎製的過程中將其中多餘的油脂除，因此口感油膩，再佐上雞肉最佳拍檔：密製日式照燒醬汁及三色時蔬，搭配吉野家百年煮飯工藝的香Q白飯，是現代都市人健康首選。"
"3638","雞丼【特盛】
使用精選骨雞腿肉，並使用鐵板以高溫快速煎製，在煎製的過程中將其中多餘的油脂除，因此口感油膩，再佐上雞肉最佳拍檔：密製日式照燒醬汁及三色時蔬，搭配吉野家百年煮飯工藝的香Q白飯，是現代都市人健康首選。"
"3639","牛雞雙寶丼
精選油花分布均勻的牛肉，脆口的洋蔥與百年口碑的秘傳配方熬煮，均勻的滲透在每顆米飯，搭配著煎板高溫理後外酥內軟的雞肉，軟嫩緊實的口感，淋上吉野家獨門特照燒醬汁，完美的組合創造出多層次的口感，是一份高貴貴的經典美味料理。一份餐二種口味，真是幸福滿滿！！"
"3640","豬雞雙寶丼
精選油花分布均勻的豚肉，脆口的洋蔥與百年口碑的秘傳配方熬煮，均勻的滲透在每顆米飯，搭配著煎板高溫理後外酥內軟的雞肉，軟嫩緊實的口感，淋上吉野家獨門特照燒醬汁，完美的組合創造出多層次的口感，是一份高貴貴的經典美味料理。一份餐二種口味，真是幸福滿滿！！"
"3641","味の一番丼
味の一番丼嚴選鮮鯛魚片，以日式浦燒方式理，同時附上三色時蔬，搭配吉野家用心烹煮"
"3642","翠玉子牛肉丼
吉野家嚴選新鮮食材"
"3643","翠玉子牛肉丼【特盛】
吉野家嚴選新鮮食材"
"3644","韓泡牛肉丼
以吉野家百年風味的牛丼為基底，搭配別具異國風味的韓國泡菜，再佐以半熟玉子提升食用口感，並盛裝在吉野家特選台灣米飯上，讓牛丼只是有傳統的吃法，口味變化中更散發出獨特的異國風味。"
"3645","韓泡牛肉丼【特盛】
以吉野家百年風味的牛丼為基底，搭配別具異國風味的韓國泡菜，再佐以半熟玉子提升食用口感，並盛裝在吉野家特選台灣米飯上，讓牛丼只是有傳統的吃法，口味變化中更散發出獨特的異國風味。"
"3646","翠玉子豚肉丼
吉野家嚴選新鮮食材"
"3647","翠玉子豚肉丼【特盛】
吉野家嚴選新鮮食材"
"3648","韓泡豚肉丼"
"3649","韓泡豚肉丼【特盛】"
"3650","四川泡菜"
"3651","原味毛豆"
"3652","牛皿"
"3653","豚皿"
"3654","雞皿"
"3655","巧克力鬆餅"
"3656","草莓鬆餅"
"3657","御飯"
"3658","鮮燙花野菜"
"3659","柚香秋葵"
"3660","金橘綠茶"
"3661","金選奶茶"
"3662","香濃巧克力"
"3663","原味涼麵套餐
附湯【味噌貢丸湯"
"3664","素食涼麵套餐
附湯【味噌貢丸湯"
"3665","泰式涼麵套餐
附湯【味噌貢丸湯"
"3666","沙茶涼麵套餐
附湯【味噌貢丸湯"
"3667","榨醬涼麵套餐
附湯【味噌貢丸湯"
"3668","麻辣涼麵套餐
附湯【味噌貢丸湯"
"3669","涼輕乳酪蛋糕"
"3670","帕瑪森起司蛋糕"
"3671","爆漿巧克力蛋糕"
"3672","經典原味蛋糕"
"3673","咖啡核桃蛋糕"
"3674","蜜烤布蕾咖啡"
"3675","焦瑪其朵"
"3676","奇異蘋果汁"
"3677","萊姆柚子"
"3678","香蘋歐蕾"
"3679","浮潛泡泡"
"3680","森森抹茶"
"3681","戀戀仲夏"
"3682","藍莓塔"
"3683","玫瑰荔枝"
"3684","檸檬生乳酪"
"3685","輕乳酪蛋糕"
"3686","蜂蜜奶油鬆餅"
"3687","抹茶紅豆鬆餅"
"3688","肉絲炒飯套餐"
"3689","蝦仁炒飯套餐"
"3690","櫻花蝦炒飯套餐"
"3691","香腸炒飯套餐"
"3692","鹹魚炒飯套餐"
"3693","吻仔魚炒飯套餐"
"3694","海鮮鍋套餐"
"3695","肉片鍋套餐"
"3696","蛤蠣鍋套餐"
"3697","蔬菜鍋套餐"
"3698","鮮蝦鍋套餐"
"3699","元氣滿滿
紅蘿蔔"
"3700","養生利器
菜根"
"3701","免疫力超人
蕃茄"
"3702","體內淨化
草莓"
"3703","小珍美容
草莓"
"3704","消化達人
燕麥"
"3705","疲勞忘掉
菠菜"
"3706","又美又白
柳丁"
"3707","青春永駐
火龍果"
"3708","血管清道夫
蕃茄"
"3709","代謝班長
鳳梨"
"3710","抗老化物語
草莓"
"3711","療疾佳果
柳丁"
"3712","大力水手
菠菜"
"3713","慢牛馬力夯
菜根"
"3714","健身忘憂
香蕉"
"3715","日本人蔘
紅蘿蔔"
"3716","柳鳳找茶
柳丁"
"3717","一蕃功夫茶
蕃茄"
"3718","頭好壯壯茶
菜根"
"3719","甘蔗鳳梨青
甘蔗"
"3720","冷泡原片台茶12號金萱青茶"
"3721","冷泡原片嚴選金萱蜜香紅茶"
"3722","新加坡樂莎湯麵
世界第一的好味道加點50元以上飲品即贈咖椰小牛角麵包"
"3723","新加坡樂莎湯餃
絕配的新組合加點50元以上飲品即贈咖椰小牛角麵包"
"3724","新加坡咖哩湯麵
媲美世界第一的好味道加點50元以上飲品即贈咖椰小牛角麵包"
"3725","新加坡咖哩湯餃
絕配的新組合加點50元以上飲品即贈咖椰小牛角麵包"
"3726","韓式香濃起司湯麵
濃郁起司搭佐豐富配料加點50元以上飲品即贈咖椰小牛角麵包"
"3727","咖椰小牛角麵包
新加坡Kaya咖椰醬是由當地特有香蘭葉萃取，用上鴨蛋"
"3728","咖椰大牛角麵包
新加坡Kaya咖椰醬是由當地特有香蘭葉萃取，用上鴨蛋"
"3729","芬達橘子"
"3730","美粒果清果汁"
"3731","美式熱咖啡"
"3732","熱芒果百香果茶"
"3733","美式咖啡
選：正常"
"3734","拿鐵咖啡
選：正常"
"3735","摩卡咖啡
"
"3736","焦拿鐵
"
"3737","榛果拿鐵
"
"3738","香草拿鐵
"
"3739","熱巧克力
微，"
"3740","蘭‧咖啡
選：正常"
"3741","蘭‧鮮奶茶
選：正常"
"3742","咖啡莓果茶
微，"
"3743","伯爵茶
加"
"3744","神秘東方
綠茶，加"
"3745","四紅果茶
加，紅茶"
"3746","摩卡法拉培
選：正常"
"3747","咖啡莓果法拉培
加"
"3748","西紅柿法拉培
加"
"3749","衣索比亞手沖
選水洗"
"3750","宏都拉斯手沖
水洗"
"3751","衣索比亞
加，選水洗"
"3752","宏都拉斯
水洗，加"
"3753","蘭咖啡精品咖啡豆
200g，花香"
"3754","綜合手指馬卡龍
8顆，內含軟夾心"
"3755","香草招牌馬卡龍"
"3756","巧克力招牌馬卡龍"
"3757","香橙招牌馬卡龍"
"3758","伯爵茶招牌馬卡龍"
"3759","咖啡招牌馬卡龍"
"3760","鹽味焦招牌馬卡龍"
"3761","百香果招牌馬卡龍"
"3762","覆盆子招牌馬卡龍"
"3763","檸檬招牌馬卡龍"
"3764","綜合招牌馬卡龍
9顆"
"3765","非誠勿擾"
"3766","楓花果培根"
"3767","開心杏桃雞"
"3768","辣味蕃茄雞"
"3769","起司彈"
"3770","黑與白"
"3771","蟹蟹大家"
"3772","美式"
"3773","黑瑪奇朵"
"3774","DOOM茶"
"3775","奶油DOOM茶"
"3776","橙香
僅有熱飲"
"3777","奶油森林
僅有飲"
"3778","擂擂拿鐵"
"3779","漬檸檬茶"
"3780","花茶"
"3781","牛奶
僅有熱飲"
"3782","野莓昔昔"
"3783","當日市場果汁"
"3784","水果沙"
"3785","薑汁蘇打"
"3786","季節果醋"
"3787","招牌烤肉丼【豚】"
"3788","香酥排骨丼"
"3789","照燒烤雞丼"
"3790","日式唐揚雞丼"
"3791","府城蝦捲丼"
"3792","日式味噌湯"
"3793","超犯規的溫泉蛋"
"3794","府城蝦捲"
"3795","士林大香腸"
"3796","玉米火腿蔥抓餅
附飲料【麥香紅茶"
"3797","豬排起士歐姆蛋厚片
附飲料【麥香紅茶"
"3798","豬排起士蛋蔥抓餅
附飲料【麥香紅茶"
"3799","紐澳良雞翅搭培根白醬烏龍麵
附飲料【麥香紅茶"
"3800","番茄野菇雞肉義大利麵
附飲料【麥香紅茶"
"3801","素宮保雞丁烏龍麵
附飲料【麥香紅茶"
"3802","煙燻雞肉醬烏龍麵搭唐揚雞肉塊
附飲料【麥香紅茶"
"3803","黑胡椒牛肉
附飲料【麥香紅茶"
"3804","咖哩牛肉
附飲料【麥香紅茶"
"3805","咖哩雞肉
附飲料【麥香紅茶"
"3806","蕃茄肉絲蛋炒飯
附飲料【麥香紅茶"
"3807","脆皮手槍腿"
"3808","雞腿歐姆蛋裸麥
內含堅果"
"3809","鳳梨雞腿軟法"
"3810","黃金鱈魚軟法"
"3811","雞柳軟法"
"3812","南洋雞肉捲"
"3813","黃金鱈魚捲"
"3814","日式唐揚雞塊
七味粉"
"3815","脆皮炸雞一塊
炸雞部位隨機搭配"
"3816","脆皮炸雞二塊
炸雞部位隨機搭配"
"3817","脆皮炸雞四塊
炸雞部位隨機搭配"
"3818","脆皮炸雞六塊
炸雞部位隨機搭配"
"3819","脆皮桶
脆皮手槍腿x2+脆皮炸雞x4+脆皮辣翅x2對"
"3820","脆皮辣翅"
"3821","黃金魚柳"
"3822","咔滋脆薯
蕃茄醬"
"3823","彩蔬沙拉
千島醬"
"3824","田園燻雞沙拉"
"3825","百事樂"
"3826","七喜"
"3827","經典咖啡"
"3828","每日C柳橙汁"
"3829","焦熱奶茶"
"3830","現磨美式咖啡
熱"
"3831","檸檬Light"
"3832","綜合刺身丼"
"3833","山藥碎鮪魚"
"3834","軟絲蝦卵丼"
"3835","鮭魚丼"
"3836","鮭魚卵丼"
"3837","鐵火丼"
"3838","鮭魚親子丼"
"3839","三色丼
刺身"
"3840","豪華海鮮丼
刺身"
"3841","敵海鮮蓋飯
刺身"
"3842","雞肉親子丼"
"3843","月見牛肉丼"
"3844","松阪豬肉丼"
"3845","海鮮鍋燒烏龍麵"
"3846","鮭魚刺身"
"3847","紅甘刺身"
"3848","旗魚刺身"
"3849","綜合刺身"
"3850","鮪魚刺身"
"3851","極上綜合刺身"
"3852","海苔壽司
4枚"
"3853","鐵火細卷
6枚"
"3854","鮮蝦壽司
4枚"
"3855","鰻魚壽司
4枚"
"3856","花壽司
4枚"
"3857","鮮魚味噌湯"
"3858","魚頭湯"
"3859","玉子燒"
"3860","蝦卵軍艦"
"3861","鮮蝦"
"3862","旗魚"
"3863","鮭魚"
"3864","紅甘"
"3865","炙燒軟絲"
"3866","炙燒鮭魚肚"
"3867","炙燒紅甘肚"
"3868","鮭魚卵軍艦"
"3869","炙燒比目魚鮨邊"
"3870","炙燒星鰻"
"3871","炙燒干貝"
"3872","海膽軍艦"
"3873","牡丹蝦"
"3874","蘆筍手卷"
"3875","蝦手卷"
"3876","蘆筍蝦手卷"
"3877","蝦卵手卷"
"3878","蘆筍蝦卵手卷"
"3879","鰻魚手捲"
"3880","蔥花鮪魚手捲"
"3881","鮭魚卵手卷"
"3882","海膽手卷"
"3883","塔香三杯雞"
"3884","打拋豬"
"3885","醋里肌"
"3886","蔬食蓋飯【五辛素】"
"3887","泰式辣炒牛"
"3888","泰式百香青木瓜"
"3889","口樂
罐裝250ml"
"3890","熱爽健美茶"
"3891","濃韻冷泡茶"
"3892","熱高山茶"
"3893","熱美式咖啡"
"3894","熱拿鐵咖啡"
"3895","熱英式鮮奶茶"
"3896","荔枝汽泡飲"
"3897","芒果汽泡飲"
"3898","招牌奶油"
"3899","大甲芋頭"
"3900","卡士達珍珠"
"3901","抹茶紅豆"
"3902","洋蔥鮪魚"
"3903","芝心起司吐司堡"
"3904","火腿蛋吐司堡"
"3905","培根蛋吐司堡"
"3906","起司火腿吐司堡"
"3907","起司培根吐司堡"
"3908","鮪魚吐司堡"
"3909","蛋沙拉吐司堡"
"3910","蛋肉吐司堡"
"3911","烤雞腿排吐司堡"
"3912","烤雞腿排沙拉"
"3913","紅茶拿鐵
16oz"
"3914","紅豆牛奶
16oz"
"3915","芋頭牛奶
16oz"
"3916","珍珠紅茶拿鐵
16oz"
"3917","高大鮮乳
每瓶，16oz"
"3918","燈泡珍珠紅茶拿鐵"
"3919","古早味紅茶
16oz"
"3920","淇淋紅茶
16oz"
"3921","珍珠紅茶
16oz"
"3922","卡布其諾
熱"
"3923","咖哩燴飯
牛"
"3924","牛肉豆腐煲
附白飯"
"3925","豬肉豆腐煲
附白飯"
"3926","養生菇豆腐煲
蛋素食，附白飯"
"3927","蛤蜊豆腐煲
附白飯"
"3928","透抽豆腐煲
附白飯"
"3929","鯛魚豆腐煲
附白飯"
"3930","鮮蝦豆腐煲
附白飯"
"3931","綜合海鮮豆腐煲
附白飯"
"3932","咖哩牛肉豆腐煲
附白飯"
"3933","咖哩豬肉豆腐煲
附白飯"
"3934","咖哩透抽豆腐煲
附白飯"
"3935","海鮮豆腐煲
牛"
"3936","韓式炒年糕
牛"
"3937","韓式火鍋豆腐煲
附年糕"
"3938","越韓部隊鍋"
"3939","越韓豬肉鍋飯"
"3940","越韓牛肉鍋飯"
"3941","越式湯河粉
牛"
"3942","越式湯米線
牛"
"3943","越式湯泡麵
牛"
"3944","咖哩湯河粉
牛"
"3945","鮮蝦涼拌米線"
"3946","涼拌米線
牛"
"3947","招牌涼拌米線"
"3948","越韓辣拌米線"
"3949","乾拌泡麵
牛"
"3950","乾拌河粉
牛"
"3951","韓式蘿蔔塊"
"3952","QQ魚皮"
"3953","泡菜冷豆腐"
"3954","越式燕窩飲料"
"3955","越式椰子水"
"3956","越式檸檬水"
"3957","越式咖啡煉奶"
"3958","現榨檸檬奶
僅有飲"
"3959","中秋栗子洋菓子禮盒
如訂購超過5盒，請提早三日預定"
"3960","太妃酥"
"3961","太妃核桃酥
單顆"
"3962","雪媚娘"
"3963","芋泥派
為冷凍商品，建議退後食用"
"3964","芝麻瑪麗酥
重量250±10克"
"3965","核桃酥
重量470±10克"
"3966","葵花子片
重量220±10克"
"3967","鹹蛋糕
"
"3968","雪Q餅"
"3969","水果貴族
芋頭布丁夾層"
"3970","芒果蛋糕
芋頭布丁"
"3971","經典咖啡蛋糕
芋頭核桃"
"3972","雪花
芋頭水果夾層"
"3973","尊饗馬卡紅禮盒
12入。口味為：覆盆子"
"3974","海鹽巧巴達
內容物包含：法國進口T65麥粉"
"3975","伯爵紅茶凱密克
內含：法國進口T65麥粉"
"3976","波隆那肉醬千層麵
內容物包含：蕃茄肉醬【牛"
"3977","火腿烤克太太三明治
附配菜。內含：鄉村麵包"
"3978","烤雞腿排沙拉
鰹魚和風露"
"3979","鮪魚沙拉
鰹魚和風露"
"3980","招牌咖啡"
"3981","醬料包"
"3982","海鮮香香鍋"
"3983","鴨血鍋"
"3984","沙茶牛肉鍋"
"3985","沙茶羊肉鍋"
"3986","泡菜拉麵鍋"
"3987","泡菜脆麵鍋"
"3988","海鮮拉麵鍋"
"3989","海鮮脆麵鍋"
"3990","鮮魚片鍋"
"3991","檸檬香茅鍋"
"3992","藥膳鍋"
"3993","三菇鍋"
"3994","山藥牛奶鍋"
"3995","南瓜牛奶鍋"
"3996","起司牛奶鍋"
"3997","滷大腸"
"3998","滷臭豆腐1份"
"3999","青茶"
"4000","金萱"
"4001","綠茶拿鐵"
"4002","青茶拿鐵"
"4003","金萱拿鐵"
"4004","紅奶茶"
"4005","綠奶茶"
"4006","青奶茶"
"4007","金萱奶茶"
"4008","冬瓜奶茶"
"4009","話梅綠"
"4010","蜂蜜金萱"
"4011","百香冬瓜"
"4012","檸檬話梅"
"4013","荔枝綠"
"4014","翠玉檸檬綠"
"4015","多多綠"
"4016","小辣韓式泡菜玻璃罐550G"
"4017","小辣韓式泡菜真空袋650G"
"4018","小辣韓式泡菜真空袋1200G"
"4019","大辣韓式泡菜玻璃罐550G"
"4020","大辣韓式泡菜真空袋650G"
"4021","大辣韓式泡菜真空袋1200G"
"4022","阿嬤味道醃蘿蔔玻璃罐550G"
"4023","阿嬤味道醃蘿蔔真空袋550G"
"4024","清爽菜心玻璃罐550G"
"4025","清爽菜心真空袋550G"
"4026","初露青茶"
"4027","▲青採翠玉"
"4028","▲鹿谷黃金烏龍"
"4029","▲小山迎露"
"4030","伯爵紅茶拿鐵"
"4031","大正紅茶拿鐵"
"4032","麥茶拿鐵"
"4033","▲草莓鮮奶"
"4034","布丁鮮奶"
"4035","仙草凍鮮奶"
"4036","紅豆鮮奶"
"4037","●桂圓鮮奶"
"4038","大正紅茶鮮豆奶"
"4039","伯爵紅茶鮮豆奶"
"4040","綠茶鮮豆奶"
"4041","烏龍鮮豆奶"
"4042","青茶鮮豆奶"
"4043","麥茶鮮豆奶"
"4044","珍珠紅茶鮮豆奶"
"4045","布丁紅茶鮮豆奶"
"4046","仙草凍紅茶鮮豆奶"
"4047","紅豆紅茶鮮豆奶"
"4048","鮮豆奶"
"4049","○洛神梅"
"4050","▲養樂多綠"
"4051","▲蔓梅雙果醋"
"4052","▲香柚綠茶"
"4053","▲青檸香茶"
"4054","▲萃檸檬"
"4055","●桂圓紅棗茶"
"4056","●阿文脆梅綠"
"4057","●仙人掌茶"
"4058","●珍珠仙人掌"
"4059","皮蛋瘦肉粥"
"4060","肉鬆瘦肉粥"
"4061","皮蛋肉鬆粥"
"4062","瘦肉粥"
"4063","肉羹湯"
"4064","魚酥羹湯"
"4065","丸子湯"
"4066","涼麵"
"4067","生魷魚羹湯"
"4068","綜合羹湯肉"
"4069","肉羹"
"4070","花枝羹"
"4071","生魷魚羹"
"4072","綜合羹"
"4073","魚酥羹"
"4074","滷肉飯"
"4075","招牌黑粉圓+鮮奶"
"4076","仙蛋黑粉圓+仙草+鮮奶"
"4077","綠蛋黑粉圓+綠豆+鮮奶"
"4078","紅蛋黑粉圓+紅豆+鮮奶"
"4079","綜合黑粉圓+仙草+綠豆+鮮奶"
"4080","蛋蛋拿鐵黑粉圓+咖啡+鮮奶"
"4081","仙草牛奶天然黑+仙草+鮮奶"
"4082","綠豆牛奶天然黑+綠豆+鮮奶"
"4083","紅豆牛奶天然黑+紅豆+鮮奶"
"4084","黑牛奶天然黑+鮮奶"
"4085","黑拿鐵天然黑+咖啡+鮮奶"
"4086","桂圓牛奶天然黑+桂圓+鮮奶"
"4087","蜜桂仙草汁仙草+桂圓汁"
"4088","蜜桂粉圓黑粉圓+桂圓汁"
"4089","黑檸檬粉圓黑粉圓+檸檬汁"
"4090","黑仙草檸檬天然黑+仙草+檸檬汁"
"4091","黑綠豆檸檬天然黑+綠豆+檸檬汁"
"4092","黑檸檬汁天然黑+檸檬汁"
"4093","黑珍珠鮮奶中"
"4094","黑珍珠仙草鮮奶"
"4095","黑珍珠綠豆鮮奶"
"4096","黑珍珠布丁鮮奶"
"4097","黑仙草鮮奶"
"4098","黑綠豆鮮奶"
"4099","黑布丁鮮奶"
"4100","黑愛玉鮮奶"
"4101","黑仙草綠豆鮮奶"
"4102","黑仙草布丁鮮奶"
"4103","伯爵拿鐵"
"4104","知春拿鐵"
"4105","高山烏龍拿鐵"
"4106","珍珠伯爵拿鐵"
"4107","仙草伯爵拿鐵"
"4108","布丁伯爵拿鐵"
"4109","黑冬瓜拿鐵"
"4110","黑布丁冬瓜拿鐵"
"4111","巧克力拿鐵"
"4112","巧克力珍珠拿鐵"
"4113","黑桂紅薑母茶"
"4114","黑檸檬"
"4115","黑檸檬珍珠"
"4116","黑檸檬仙草"
"4117","黑檸檬愛玉"
"4118","檸檬青茶"
"4119","葡萄柚檸檬綠茶"
"4120","荔枝綠茶"
"4121","百香雙響"
"4122","黑伯爵紅"
"4123","茉莉花茶"
"4124","高山烏龍"
"4125","知春茶"
"4126","招牌黑咖啡"
"4127","黑仙草"
"4128","黑綠豆"
"4129","黑冬瓜"
"4130","黑冬瓜檸檬"
"4131","黑冬瓜珍珠"
"4132","黑冬瓜仙草"
"4133","黑冬瓜檸檬珍珠"
"4134","黑冬瓜檸檬愛玉"
"4135","黑冬瓜QQ凍"
"4136","泰泰鮮奶茶"
"4137","泰泰珍珠鮮奶茶"
"4138","宇治抹茶珍珠"
"4139","蜂蜜菊花茶"
"4140","蜂蜜檸檬菊花茶"
"4141","青采翠玉"
"4142","草莓鮮奶"
"4143","洛神梅"
"4144","蔓梅雙果醋"
"4145","脆皮大雞排"
"4146","香酥大雞排"
"4147","美式炸雞腿"
"4148","美式炸雞塊"
"4149","美式炸雞翅"
"4150","麻辣雞排"
"4151","川辣拼盤米血"
"4152","川辣雞丁雞胸肉"
"4153","川辣雞掌"
"4154","招牌鹽酥雞"
"4155","噴香三角骨"
"4156","酥脆魷魚絲"
"4157","深海大魷魚"
"4158","招牌香胗"
"4159","甘梅地瓜"
"4160","馬鈴薯條"
"4161","煉乳銀絲卷"
"4162","脆皮花枝丸"
"4163","芋籤"
"4164","米腸"
"4165","米血"
"4166","炸皮蛋"
"4167","炸雞爪"
"4168","起司條"
"4169","炸貢丸"
"4170","全家餐雞腿2"
"4171","葡萄柚綠茶嘉義竹崎10~5月"
"4172","紅鑽葡萄柚綠茶佛州南非5~10月"
"4173","柳丁綠茶台灣柳丁11~4月"
"4174","鮮橙綠茶加州香吉士4~11月"
"4175","鮮百香綠茶"
"4176","鮮百香紅茶"
"4177","鮮百香雙漾綠茶含珍珠&椰果"
"4178","鮮檸檬綠茶"
"4179","蜂蜜鮮檸檬"
"4180","蜂蜜鮮檸檬蘆薈"
"4181","柚籽水果茶內含五種鮮水果"
"4182","★招牌紅茶"
"4183","★茉香綠茶"
"4184","★高山青茶"
"4185","★關西仙草甘茶"
"4186","★珍珠紅茶"
"4187","★珍珠綠茶"
"4188","梅果綠茶"
"4189","★蜂蜜紅"
"4190","手打綠豆沙"
"4191","鑽芒果季節限定"
"4192","鑽葡萄柚"
"4193","鑽養樂多"
"4194","紅茶戀鮮奶"
"4195","茉綠戀鮮奶"
"4196","木瓜牛奶"
"4197","草莓優格"
"4198","芒果牛奶季節限定"
"4199","芋頭鮮奶季節限定"
"4200","白底透紅柳橙"
"4201","高鐵紅潤葡萄"
"4202","通體順暢香蕉"
"4203","健胃壯骨芭樂"
"4204","★特奶茶"
"4205","★茉香奶茶"
"4206","★珍珠奶茶"
"4207","★黑奶茶"
"4208","★統一布丁奶茶"
"4209","小米粥"
"4210","豆腐菜肉包"
"4211","韭菜肉包"
"4212","招牌豆腐捲"
"4213","韭菜盒"
"4214","葱油餅"
"4215","葱花大餅"
"4216","＊包種綠茶"
"4217","松柏嶺青茶"
"4218","鹿谷烏龍"
"4219","＊金峰洛神檸檬-"
"4220","古釀冬瓜茶-"
"4221","粉圓紅茶"
"4222","粉圓綠茶"
"4223","百花蜜茶-與熱飲"
"4224","＊百花蜜青-熱飲"
"4225","＊＊一芳水果茶"
"4226","埔里百香綠-熱飲"
"4227","＊金鑽鳳梨綠"
"4228","冬瓜檸檬露"
"4229","＊九如檸檬綠"
"4230","九如檸檬青"
"4231","＊宜蘭金桔綠"
"4232","中華愛玉檸檬"
"4233","＊信義脆梅綠"
"4234","＊Ⓗ純釀楊桃汁"
"4235","溪口甘蔗牛奶"
"4236","＊溪口甘蔗青茶"
"4237","＊鹿港麵茶"
"4238","＊關西仙草茶-"
"4239","紅茶鮮奶"
"4240","翡翠鮮奶"
"4241","烏龍鮮奶"
"4242","＊粉圓鮮奶茶"
"4243","＊鹿野薑茶"
"4244","薑汁檸檬"
"4245","薑汁桂圓"
"4246","＊桂圓紅棗茶"
"4247","日式丼飯"
"4248","韓式燒肉丼"
"4249","日式咖哩"
"4250","日式麻婆豆腐丼"
"4251","蔬菜丼"
"4252","昆布鍋"
"4253","咖喱鍋"
"4254","什錦烏龍麵"
"4255","涼麵加蒜"
"4256","肉燥乾"
"4257","麻醬乾"
"4258","雙醬乾麵麻醬.肉燥"
"4259","肉燥湯"
"4260","肉焿"
"4261","魷魚焿"
"4262","綜合焿"
"4263","焿湯貢丸"
"4264","清湯貢丸"
"4265","清湯肉焿"
"4266","清湯魷魚"
"4267","味噌"
"4268","豬血"
"4269","味噌貢丸湯"
"4270","三合一味噌.貢丸.蛋花"
"4271","豬血湯"
"4272","肉焿湯"
"4273","魷魚焿湯"
"4274","綜合焿湯"
"4275","麻醬黃瓜絲"
"4276","涼拌黃瓜塊"
"4277","乾豬血"
"4278","燙豆芽"
"4279","黃金茉香綠茶"
"4280","One紅茶"
"4281","桂花烏龍"
"4282","琥珀青茶"
"4283","鐵支觀音"
"4284","小種輕焙"
"4285","阿嬤ㄟ紅茶"
"4286","厚奶茶"
"4287","鐵支奶茶"
"4288","黃金綠奶"
"4289","琥珀青奶"
"4290","桂花烏龍奶"
"4291","小種奶茶"
"4292","台One珍奶"
"4293","奶Q茶"
"4294","布丁奶茶"
"4295","花烘奶茶"
"4296","漂浮奶茶"
"4297","仙草奶茶"
"4298","美式巧克力奶"
"4299","香濃"
"4300","百香紅"
"4301","陽光夏威夷"
"4302","百香哎喲"
"4303","陽光哎喲"
"4304","鑽旺梅塊"
"4305","鑽百旺塊"
"4306","鑽旺檸塊"
"4307","凍檸翡翠塊"
"4308","琥珀青檸塊"
"4309","檸檬哎喲"
"4310","蔗香青茶"
"4311","蔗香紅茶"
"4312","蔗香旺旺"
"4313","檸檬甘蔗"
"4314","柳丁茶"
"4315","雙C茶"
"4316","蜜仙草"
"4317","蜂蜜檸檬蘆薈"
"4318","蜂蜜琥珀青"
"4319","蜂蜜紅"
"4320","山嵐梅釀"
"4321","古味冬瓜茶"
"4322","鮮檸檬冬瓜"
"4323","黃金綠拿鐵"
"4324","小種拿鐵"
"4325","阿嬤拿鐵"
"4326","花烘拿鐵"
"4327","仙草凍拿鐵"
"4328","百香多多"
"4329","黃色丁丁"
"4330","鳳梨多多"
"4331","奶蓋黃金綠"
"4332","奶蓋紅"
"4333","奶蓋琥珀青"
"4334","奶蓋鐵支"
"4335","奶蓋烏龍"
"4336","奶蓋小種"
"4337","叭噗鐵支"
"4338","叭噗烏龍"
"4339","叭噗紅茶"
"4340","叭噗黃金綠"
"4341","叭噗琥珀青"
"4342","叭噗阿嬤紅"
"4343","燒鴨腿飯"
"4344","油雞腿飯"
"4345","蜜汁雞腿飯"
"4346","腊味飯"
"4347","鱈魚飯"
"4348","雞排飯"
