"","x"
"227","家傳肉焿麵"
"228","家傳肉焿飯"
"229","家傳肉焿米粉"
"230","家傳肉焿冬粉"
"231","家傳肉焿王子麵"
"232","庫辣肉焿乾拌麵"
"233","車庫蓋飯"
"234","蔥油鷄蓋飯"
"235","車庫一隻雞腿麵湯"
"236","飄香肉燥飯"
"237","千里肉燥麵"
"238","千里肉燥米粉"
"239","千里肉燥冬粉"
"240","千里肉燥王子麵"
"241","功夫油豆腐"
"242","阿嬤茶葉蛋"
"243","爾必思"
"244","燙青菜"
"245","傑克厚牛芝加哥堡"
"246","里肌肉蛋黑磚堡"
"247","凱薩雞排芝加哥堡"
"248","烙烤雞腿米堡"
"249","醬烤豬排蛋法頌堡"
"250","火腿歐姆波蘿堡"
"251","肉鬆薯泥法頌堡"
"252","鱈魚條漢堡"
"253","厚切豬排盤餐"
"254","元氣厚牛盤餐"
"255","薯泥肉醬蛋捲盤餐"
"256","歐式凱撒雞排盤餐辣"
"257","美式經典盤餐"
"258","美式雞柳盤餐"
"259","法式火腿盤餐"
"260","活力總匯盤餐"
"261","雞柳"
"262","培根牛肉"
"263","咔啦雞腿辣"
"264","醬烤豬排蛋"
"265","烙烤雞腿"
"266","鱈魚條"
"267","泡菜雞肉辣"
"268","肉醬蛋"
"269","沙嗲牛肉"
"270","風味燒肉辣"
"271","肉鬆薯泥"
"272","麥香雞"
"273","厚切豬排"
"274","傑克厚牛"
"275","里肌肉蛋"
"276","凱薩雞排辣"
"277","起司燻腸"
"278","咔拉魚排"
"279","嫩蛋花生培根"
"280","總匯蛋"
"281","風味燒肉蛋辣"
"282","桃木燻雞蛋"
"283","火腿歐姆蛋"
"284","培根蛋"
"285","玉米蛋"
"286","鮪魚沙拉蛋"
"287","起司蛋"
"288","火腿蛋"
"289","肉鬆蛋"
"290","湯種土司"
"291","波蘿"
"292","拿坡里肉醬義大利麵"
"293","法式燻雞義大利麵"
"294","肉醬脆薯"
"295","美式雞柳條"
"296","德式燻腸"
"297","黃金脆薯"
"298","骰子雞塊"
"299","麥克雞塊"
"300","蘿蔔糕"
"301","蔬菜熱狗"
"302","三角薯餅"
"303","摩卡咖啡"
"304","拿鐵咖啡"
"305","義式研磨咖啡"
"306","綜合咖啡"
"307","紅茶拿鐵"
"308","薏仁漿"
"309","奶香"
"310","旺來果茶"
"311","蘋果茶"
"312","玄米煎茶"
"313","奶茶"
"314","紅茶"
"315","臭臭豬肉鍋"
"316","臭臭牛肉鍋蛋"
"317","臭臭羊肉鍋蛋"
"318","泡菜豬肉鍋"
"319","泡菜蛋"
"320","沙茶鴨血鍋"
"321","蔬菜鍋"
"322","素食鍋"
"323","原味豬肉鍋"
"324","原味蛋"
"325","沙茶豬肉鍋"
"326","沙茶蛋"
"327","麻辣豬肉鍋"
"328","麻辣蛋"
"329","咖哩蛋"
"330","鮭魚鍋"
"331","鮮蝦鍋"
"332","海陸鍋蛋"
"333","香滷血旺"
"334","香滷百頁"
"335","牛肉"
"336","豬肉"
"337","小油皮"
"338","魚餃"
"339","蟹味棒"
"340","辣條"
"341","黑木耳"
"342","金針菇"
"343","南瓜片"
"344","凍豆腐"
"345","米血糕"
"346","虱目魚丸"
"347","松柏嶺高山清茶"
"348","文烘正欉鐵觀音"
"349","鹿谷黃金烏龍茶"
"350","文山小葉種綠茶"
"351","日月魚池鄉紅茶"
"352","原鄉義豐冬瓜茶"
"353","義豐冬瓜清茶"
"354","義豐冬瓜檸檬"
"355","義豐冬瓜鐵觀音"
"356","正欉鐵觀音蔓越莓"
"357","老欉芭樂梅"
"358","老欉芭樂檸檬"
"359","老欉芭樂柳橙綠茶"
"360","珠光翡翠檸檬茶"
"361","枋山芒果鮮綠茶"
"362","枋山芒果鮮紅茶"
"363","野生蜂蜜檸檬綠茶"
"364","野生蜂蜜檸檬紅茶"
"365","野生蜂蜜檸檬清茶"
"366","香橙果粒鮮綠"
"367","鮮葡萄柚果粒綠茶"
"368","騎士真橙打火龍"
"369","愛情動作草莓牛奶"
"370","奇異博士愛草莓"
"371","藍天綠草加白白的"
"372","倒莓香蕉被切片"
"373","卡牙縫的蜂蜜飲"
"374","魚池鄉紅茶鮮奶"
"375","黃金烏龍烤鮮奶"
"376","白毫翡翠鮮奶茶"
"377","義豐冬瓜鮮奶茶"
"378","宇治抹茶鮮奶茶"
"379","宇治金時鮮奶茶"
"380","正欉觀音鮮奶茶"
"381","白芋珍珠鮮奶茶"
"382","紅豆珍珠鮮奶茶"
"383","抹茶珍珠鮮奶茶"
"384","黑芝麻珍珠鮮奶茶"
"385","火龍果珍珠鮮奶茶"
"386","荔枝英式伯爵鮮奶茶"
"387","唐寧格雷仕女伯爵鮮奶茶"
"388","秋摘大吉嶺鮮奶茶"
"389","葛雷二世伯爵鮮奶茶"
"390","錫蘭斯里蘭卡鮮奶茶"
"391","老欉阿薩姆鮮奶茶"
"392","瑪黑法式藍伯爵奶茶"
"393","熱芝麻什穀"
"394","鮮果熱蔓越莓汁"
"395","熱義大里薄荷飲"
"396","熱蜂蜜檸檬薄荷飲"
"397","香醇芋頭鮮奶茶"
"398","蜜釀熱檸檬紅茶"
"399","芳醇香蕉牛奶蛋黃飲"
"400","香蕉牛奶飲"
"401","豐樂牛奶薏仁飲"
"402","鮮果蔓越莓"
"403","花生珍珠鮮奶茶"
"404","花生仁"
"405","鮮紅豆"
"406","大芋頭"
"407","薏仁"
"408","白玉珍珠"
"409","抹茶珍珠"
"410","黑芝麻珍珠"
"411","火龍果珍珠"
"412","香酥雞腿飯"
"413","家傳滷雞腿飯"
"414","酥炸排骨飯"
"415","懷舊滷排骨飯"
"416","古早味燒肉飯"
"417","鯛魚排飯"
"418","鱈魚排飯"
"419","時蔬鮮菇飯"
"420","媽媽菜便當"
"421","炸豆腐"
"422","黃金蛋"
"423","堅果饅頭"
"424","起司饅頭芋"
"425","紅桂圓"
"426","健康饅頭"
"427","日本黑金剛沖繩黑製"
"428","紅點豆沙包台灣蜜紅豆"
"429","麻辣肉包當日溫體豬肉"
"430","黃點鮮肉包加入三星蔥"
"431","紅點竹筍肉包"
"432","芋頭饅頭檳榔心芋頭"
"433","牛奶饅頭瑞穗鮮奶"
"434","紅饅頭添加色素"
"435","特製花捲"
"436","綠點素菜包"
"437","全麥饅頭"
"438","山東饅頭"
"439","日月潭珠珠鮮奶"
"440","南投四季春鮮奶珠珠"
"441","宇治鮮抹奶珠珠"
"442","鮮奶珠珠"
"443","小農牧場鮮乳"
"444","台灣國寶茶"
"445","日月潭紅茶"
"446","南投四季春青茶"
"447","黃金健康蕎麥茶"
