,0
39,奇異果果粒茶
40,葡萄柚果粒多多
41,百香雙Q果
42,百香綠茶
43,翡翠香橙
44,番茄梅蜜(冰沙)
45,翡翠柳橙
46,百香多多
47,冰萃檸檬
48,金桔檸檬
49,檸檬紅茶
50,檸檬綠茶
51,蜂蜜檸檬
52,檸檬多多
53,檸檬梅子
54,加椰果
55,加咖啡凍
56,加仙草凍
57,加波霸
58,加雙Q果
59,加蜂蜜
60,加養樂多
61,加布丁
62,加寒天
63,今天不訂
0,阿里山冰茶
0,多人分享包(綜合)1500g
1,單人獨享包(小辣)750g
2,單人獨享包(大辣)750g
3,黃金魚蛋(12顆/少許湯底)
4,魚包蛋(9顆/無湯底)
5,麻辣湯底(需購買多人分享包才可加購)
6,多人分享包(鴨血/限量/缺貨直接換綜合)1500g
0,日式炸豬排飯
1,嫩煎豬排飯
2,好吃炸排骨飯
3,卡啦雞腿飯
4,炸飯
5,香滷控肉飯
6,鹹魚飯
7,虱目魚肚飯
8,素食便當
9,牛肉麵
10,餛飩麵
11,鍋燒意麵
12,榨菜肉絲麵
13,乾意麵
14,乾麵
15,紅茶
16,綠茶
17,桂花釀
18,碳焙烏龍
0,招牌乾煎(少羹)
1,原味乾煎(無羹)
2,米粿羹(多羹)
3,豬油拌飯
4,粿羹拌飯(綜合)
5,本日湯品
6,古早味紅茶
7,自製辣椒醬
0,阿薩姆紅茶
1,台灣四季青茶
2,薫衣草綠茶
3,黃金烏龍茶
4,黃金烏龍青茶
5,黃金烏龍線茶
6,台灣龍眼蜜茶
7,純釀仙草茶
8,冬釀四季春茶
9,格雷柏爵紅茶
10,鮮奶霜蓋紅茶
11,鮮奶霜蓋青茶
12,鮮奶霜蓋綠茶
13,鮮奶霜蓋烏龍茶
14,可可鮮奶霜
15,咖啡鮮奶霜
16,甘蔗鮮奶霜(季節限定)
17,抹茶鮮奶霜
18,檸檬鮮奶霜
19,冬瓜鮮奶霜
20,盆栽鮮奶霜(明星商品)
21,法式草莓森巴(明星商品)
22,蜂蜜仙草茶
23,梅釀烏龍茶(夏季限定)
24,脆梅綠茶
25,梅子綠茶
26,私藏綠茶
27,私藏奶茶
28,冰淇淋紅茶
29,私藏熊貓奶茶
30,夏威夷水果冰茶
31,禾麥錫蘭鮮奶茶
32,沖繩黑糖鮮奶茶
33,黃金烏龍鮮奶茶
34,薄荷鮮奶綠茶
35,日本森永鮮奶茶
36,珍珠鮮奶茶
37,甘蔗鮮奶茶(季節限定)
38,皇家伯爵鮮奶茶
39,宇治抺茶鮮奶茶
40,港式鴛鴦鮮奶茶
41,北海道鮮奶茶
42,鮮奶嫩仙草(不加糖冰 每日限定)
43,冰淇淋鮮奶茶
44,紅豆鮮奶茶
45,黑糖純鮮奶
46,珍珠抺茶鮮奶
47,職人鮮奶936ML(瓶)
48,芒果青茶
49,葡萄綠茶
50,水蜜桃綠茶
51,甘蔗青茶(季節限定)
52,葡萄柚綠茶
53,枊橙綠茶
54,百香綠茶
55,青檸綠茶
56,脆梅檸檬汁
57,草莓綠茶
58,蜂蜜檸檬
59,檸檬伯爵紅茶
60,芒果奶昔
61,水蜜桃奶昔
62,百香果奶昔
63,草莓奶昔
64,可可布蕾奶昔
65,雙莓果奶昔
66,鮮奶紅豆奶昔
67,藍山黑咖啡
68,私藏特調咖啡
69,香草漂浮冰咖啡
70,卡布奇諾咖啡
71,拿鐵咖啡
72,芒果拿鐵
73,草莓拿鐵
74,可可拿鐵
75,薄菏巧克力拿鐵
76,多多綠茶
77,百香多多
78,小蜜桃多多
79,芒果多多
80,葡萄多多
81,草莓多多
82,檸檬多多
83,黑糖冬瓜
84,冬瓜冰淇淋
85,冬瓜四季青
86,冬瓜仙草茶
87,冬瓜檸檬
88,冬瓜金桔
89,大紅帽(玫瑰果+薔葳果+優格+蝶豆花+紫羅蘭+薫衣草)
90,小野狼(鮮桔+四季橘+冬瓜+蝶豆花+紫羅蘭+薫衣草)
91,蘋果派對(蘋果+梅果醬+脆梅+蝶豆花+紫羅蘭+薫衣草)
92,金色年代(台灣芒果+草莓)
93,魔幻果粒(私藏水果醬+百香果+香吉士+鳳梨+蝶豆花+紫羅蘭+薫衣草)
94,莓果嘉年華(藍莓+小紅莓+蘋果+蝶豆花+紫羅蘭+薫衣草)
95,氣式氣泡水
96,爆彈青茶
97,氣爆彈
98,爆彈檸檬
99,爆彈冰沙
0,菜單圖
1,白飯
2,蛋炒飯
3,火腿炒飯
4,肉絲炒飯
5,什錦炒飯
6,蝦仁炒飯
7,雞腿肉炒飯
8,肉絲炒麵
9,牛肉炒麵
10,羊肉炒麵
11,什錦炒麵
12,蝦仁炒麵
13,牛肉燴飯
14,羊肉燴飯
15,咖哩雞飯
16,蛋花湯
17,魚丸湯
18,貢丸湯
19,蛤仔湯
20,鮮魚湯
21,今天不訂
0,菜單圖
1,牛腱牛肉拉麵
2,牛腱牛肉冬粉
3,牛腱牛肉拌飯
4,牛腱牛肉拌麵
5,牛腱牛肉泡飯
6,牛肉湯飯(沒牛肉)
7,牛肉湯麵(沒牛肉)
8,牛肉湯冬粉(沒牛肉)
9,牛肉湯餃10粒(沒牛肉)
10,牛肉湯餃15粒(沒牛肉)
11,軟骨排骨拉麵
12,軟骨排骨冬粉
13,軟骨排骨拌飯
14,軟骨排骨拌麵
15,軟骨排骨泡飯
16,排骨湯飯(沒排骨)
17,排骨湯麵(沒排骨)
18,排骨湯冬粉(沒排骨)
19,排骨湯餃10粒(沒排骨)
20,排骨湯餃15粒(沒排骨)
21,韓式泡菜拉麵
22,韓式泡菜冬粉
23,韓式泡菜泡飯
24,餛飩拉麵
25,餛飩泡飯
26,餛飩冬粉
27,烏龍麵
28,炸醬麵
29,鍋燒意麵
30,鍋燒冬粉
31,鍋燒雞絲麵
32,鍋燒泡飯
33,乾麵(小)
34,乾麵(大)
35,湯麵(小)
36,湯麵(大)
37,肉燥飯(小)
38,肉燥飯(大)
39,燙青菜
40,手工水餃10粒
41,手工水餃15粒
42,手工水餃20粒
43,貢丸湯
44,魚丸湯
45,蛋花湯
46,餛飩湯
0,菜單圖
1,白飯
2,肉燥飯
3,魚酥飯
4,咖哩飯
5,鍋燒意麵
6,鍋燒雞絲
7,鍋燒冬粉
8,鹹粥
9,魚皮粥
10,魚肉粥
11,蚵仔粥
12,魚肚粥
13,魚丸湯
14,魚皮湯
15,魚肉湯
16,魚腸湯
17,蚵仔湯
18,蛤仔湯
19,魚肚湯
20,魯丸
21,油豆腐
22,滷蛋
23,小菜
24,煎香腸
25,燙青菜
26,炒青菜
27,煎魚腸
28,煎魚肚
29,A餐白飯+煎魚肚+小菜兩種+清湯
30,B餐白飯+炸豬排+煎蛋+小菜兩種+清湯
31,C餐白飯+煎鯖魚+煎蛋+小菜兩種+清湯
32,今天不訂
0,菜單圖
1,卡啦雞腿飯
2,三杯雞肉飯
3,秋刀魚
4,雞翅飯
5,雞腿飯
6,排骨飯
7,控肉飯
8,招牌綜合飯
9,魚肚飯
10,鮮魚飯
11,鱈魚飯
12,塩魚飯
13,今天不訂
0,菜單圖
1,鮮香排骨飯
2,紅燒獅子頭
3,三杯雞肉飯
4,蜜汁排骨飯
5,香菇豬肉飯
6,紅燒爌肉飯
7,辣味雞排飯
8,香酥魚排飯
9,香煎肉魚飯
10,香煎秋刀魚飯
11,香煎鮭魚飯
12,日本鹹魚飯
13,香煎土魠魚飯
14,香煎圓鱈魚飯
15,酥炸雞腿飯
16,紅燒豬腳飯
17,紅燒牛腩飯
18,虱目魚肚飯
19,今天不訂
0,現炸大雞腿飯
1,現炸排骨飯
2,現炸旗魚排飯
3,日式豬排飯
4,現炸雞翅飯(含蛋)
5,古早味控肉飯
6,飄香燒肉飯
7,香腸飯
8,今天不訂
0,雞腿飯
1,魚肚飯
2,燒肉飯
3,香腸飯
4,鹹魚飯
5,雞翅飯
0,葱油餅
1,韭菜盒
2,雙胞胎
3,甜甜圈
4,芋頭餅
5,蕃薯球
6,芝麻球(紅豆.芝麻.花生)
7,酸菜包
8,紅豆包
9,沙拉包
0,菜單圖
1,原味意麵
2,原味雞絲
3,原味烏龍
4,原味冬粉
5,原味湯飯
6,原味米粉
7,原味科學麵
8,味增意麵
9,味增雞絲
10,味增烏龍
11,味增冬粉
12,味增湯飯
13,味增米粉
14,味增科學麵
15,泡菜意麵
16,泡菜雞絲
17,泡菜烏龍
18,泡菜冬粉
19,泡菜湯飯
20,泡菜米粉
21,泡菜科學麵
22,麻辣意麵
23,麻辣雞絲
24,麻辣烏龍
25,麻辣冬粉
26,麻辣湯飯
27,麻辣米粉
28,麻辣科學麵
29,香腸蛋炒飯
30,火腿蛋炒飯
31,肉絲蛋炒飯
32,泡菜蛋炒飯
33,麻辣炒飯
34,小菜一律
35,蛤仔湯
36,什錦炒油麵
37,什錦炒意麵
38,什錦炒米粉
39,手工魚餃湯
40,手工魚冊湯
41,豬肝湯
42,蛋花湯
43,今天不訂
0,菜單圖
1,滷排骨飯
2,滷控肉飯
3,燒鴨油雞飯
4,燒鴨叉燒飯
5,油雞叉燒飯
6,脆皮燒鴨飯
7,香蔥油雞飯
8,蜜汁叉燒飯
9,炸雞腿飯
10,炸排骨飯
11,炸鱈魚飯
12,時令煎魚飯
13,烤雞腿飯
14,燒鴨腿飯
15,油雞腿飯
16,烤鴨兩吃
17,烤鴨三吃
18,烤全鴨
19,香蔥油雞
20,今天不訂
0,菜單圖
1,泰式雞腿排飯
2,韓式辣味雞腿排飯
3,照燒雞腿排飯
4,橙汁雞腿排飯
5,炸雞腿排飯
6,雙拼雞腿排飯
7,卡拉雞排飯(原味)
8,起司豬排飯(無法做雙拼飯)
9,咖哩雞排飯(不辣)
10,咖哩豬排飯(不辣)
11,泡菜豬肉飯(微酸甜辣)
12,炸豬排飯
13,滷豬排飯
14,花枝排飯
15,鱈魚排飯(可搭泰式醬)
16,鮭魚排飯
