,0
0,微辣（15塊裝）
1,微辣
2,小辣
3,中辣
4,大辣
5,虱目魚丸（試吃）
6,燕餃（試吃）
7,蝦丸花枝丸（試吃）
8,蝦丸（一斤）
9,花枝丸（一斤）
10,旗魚丸（一斤）
11,虱目丸（一斤）
12,燕餃（一斤）
13,香菇貢丸（一斤）
14,赤肉羹（一斤）
15,花枝丸（8顆）
16,蝦丸（8顆）
17,老油條
18,麻辣醬包
19,辣味筍茸
20,鳥蛋
21,鴨血糕
22,西瓜籽棉
23,酸菜（一斤）
0,聰明糕~(桂圓紅棗口味燕麥糕) **人氣第一**
1,窈窕糕~(抹茶紅豆口味燕麥糕) **女仕最愛**
2,比利時可可糕~(可可口味燕麥糕) **評價最高~超好吃**
3,黑芝麻燕麥糕 **香濃芝麻 燕麥加料**
4,蔓越莓燕麥糕 **純草莓+頂級蔓越莓**
5,頂級櫻桃乾(美國) **鐵質冠軍 補血美容**
6,頂級蔓越莓乾(加拿大) **女性泌尿道保健**
7,蔓越莓＊櫻桃乾綜合 **泌尿道保健 補血 **
8,加拿大無酒精蜂膠 提高免疫不怕流感(買5送1)
9,土窯龍眼乾(半斤)天然水果乾最健康
10,比利時白巧克力 30% (頂級調溫巧克力) 評價最高白巧克力 濃濃奶香
11,比利時純苦巧克力 73% (頂級調溫可可) 歐洲進口 奢華享受
12,比利時黑白綜合巧克力 (苦黑&奶香 )
0,烏龍
1,雞絲
2,油麵
3,粗粉絲
4,意麵
5,米粉
6,板條
7,冬粉
8,鐵板牛肉飯
9,鐵板豬肉飯
10,鐵板羊肉飯
11,鐵板雞肉飯
12,鐵板海鮮飯
13,什錦蛋炒飯
14,肉絲蛋炒飯
15,現炒牛肉麵
16,現炒羊肉麵
17,現炒豬肉麵
18,現炒雞肉麵
19,現炒海鮮麵
0,丸三冬瓜檸檬(焦糖/仙人掌/白玉)
1,丸三鮮奶綠(焦糖/仙人掌/白玉)
2,仙人掌珍珠鮮奶綠
3,黑芝麻珍珠鮮奶綠
4,芝麻丸抹茶
5,深培麥茶
6,翡翠綠茶
7,阿薩姆紅茶
8,四季春茶
9,琥珀鐵觀音
10,養樂多綠茶
11,莓果醋飲
12,檸檬養樂多
13,焦糖珍珠鮮奶
14,白玉珍珠鮮奶
15,丸三珍珠鮮奶(焦糖/仙人掌/白玉)
16,仙人掌珍珠鮮奶
17,黑芝麻珍珠鮮奶
18,翡翠檸檬白玉
19,鮮榨百香白玉
20,義大利可可白玉
21,宇治抹茶白玉
22,阿薩姆鮮奶茶
23,翡翠鮮奶綠
24,手作冬瓜鮮奶
25,宇治抹茶鮮奶
26,義大利可可鮮奶
27,芝麻抹茶
28,丸作奶茶
29,麥芽阿華田
30,手燒焦糖奶茶
31,義大利可可
32,琥珀珍珠鐵觀音
33,手作珍珠冬瓜鮮奶
34,阿薩姆珍珠鮮奶茶
35,手作冬瓜茶
36,手作冬瓜檸檬
37,翡翠檸檬
38,鮮榨百香綠茶
39,丸作橙香綠茶
40,丸作柚柚綠
41,高纖水果茶
42,香橙百香綠茶
43,焦糖珍珠
44,白玉珍珠
45,其他特別口味珍珠
0,鴨肉便當
1,鴨腿便當
2,松阪豬便當
3,松阪豬肉飯
4,鴨腿飯
5,鴨肉飯
6,鴨汁飯
7,白飯
8,當歸湯麵線
9,當歸鴨肉麵線
10,當歸下水麵線
11,當歸脆腸麵線
12,當歸松阪豬肉麵線
13,當歸清湯
14,高麗菜湯
15,米血湯
16,脆腸湯
17,下水湯
18,鴨肉湯
19,松阪豬肉湯
20,鴨腿湯
21,松阪豬肉(盤)
22,鴨肉(盤)
23,鴨腿(盤)
24,脆腸(盤)
25,下水(盤)
26,米血(乾)
27,滷筍絲
28,滷油豆腐
29,燙大陸妹
30,燙地瓜葉
31,燙高麗菜
32,鴨屁股(三個)
0,手打辣醬麵(味噌)
1,手打炸醬麵(葷)
2,手打炸醬麵(素)
0,爆漿「奶油」餐包(素)
1,爆漿黃金羅宋5入(素)
2,爆漿「草莓」奶油餐包 自製新鮮果醬(素)
3,爆漿「養生黑芝麻」餐包(素)
4,爆漿「巧克力」奶油餐包(素)
5,爆漿「拉絲」蒜香起司奶油餐包
6,原味餐包(無奶油)(素)
7,維也納奶油麵包3條(素)
8,維也納奶油蒜香麵包 3條裝
9,奶酥菠蘿(素)
10,招牌原味波蘿(素)
11,香草卡士達 菠蘿泡芙
12,乳酪球
13,拇指餅乾
14,香濃牛奶棒（起司）
15,香濃牛奶棒(咖啡)
16,香濃牛奶棒(黑糖)
17,香濃牛奶棒(原味牛奶)
18,北海道濃奶蛋糕
19,巧克力濃奶蛋糕
20,5吋 日式 手工南瓜戚風蛋糕
21,5吋 日式 黑糖戚風蛋糕
22,5吋日式 蔓越莓 戚風蛋糕
23,A1波士頓派-鮮奶(9吋)
24,A2波士頓派-手工草莓(9吋)
25,A3招牌波士頓派-手工芋頭(9吋)
26,招牌蜂蜜蛋糕
27,香草乳酪蛋糕
28,巧克力香蕉曼巴
29,原味奶糖夾心餅
30,嗆辣胡椒奶糖夾心餅
31,海苔芥末奶糖夾心餅
32,牛奶棒禮盒-原味 6入裝
33,牛奶棒禮盒-黑糖 6入裝
34,牛奶棒禮盒-咖啡 6入裝
35,牛奶棒禮盒-起司 6入裝
0,茉莉綠茶
1,阿薩姆紅茶
2,四季春青茶
3,凍頂烏龍綠
4,文山清茶
5,檸檬綠
6,檸檬青
7,梅果綠
8,*蜂蜜綠
9,桔子綠
10,8冰綠
11,*養樂多綠
12,*鮮柚綠
13,波霸紅
14,波霸綠
15,波霸青
16,波霸烏
17,波霸奶茶
