店名,地址
口味坊,"[松山區] 台北市松山區延吉街43號, 105 Taipei City"
初丸食堂,"[大安區] 台北市大安區延吉街165-2號1樓, 106 Taipei City"
Miss X 秘食,"[士林區] 台北市士林區華齡街188號, 111 Taipei City"
飯飯之倍,"[信義區] 台北市信義區吳興街63號, 110 Taipei City"
黃綠紅複合式早餐,"[信義區] 台北市信義區吳興街281巷70號, 110 Taipei City"
深夜紅茶,"[松山區] 台北市松山區興安街174巷9號, 105 Taipei City"
一前一町拉麵,[內湖區] 台北市內湖區內湖路一段437巷4弄9號 
初心食堂,[內湖區] 台北市內湖區內湖路一段120巷8號 
焦糖楓日式無煙串燒,[信義區] 台北市信義區永吉路30巷122號 
吳媽媽私房便當,台北市南港路三段130巷1弄1號 
一把青廚房,[信義區] 台北市信義區永吉路30巷157弄4號
嘉義食堂,[信義區] 台北市信義區松隆路103號 
一心豪飲（內湖店）,[內湖區] 台北市內湖區內湖路1段411巷10-1號 
LEWAY 樂の本味(西門店),[萬華區] 台北市萬華區成都路90號1樓
一心茶飲（南港店）,[南港區] 台北市南港區南港路1段158號 
一心豪飲（信義店）,[信義區] 台北市信義區基隆路1段147巷8號 
丼吃丼(台北市府店),[信義區] 台北市信義區忠孝東路五段71巷3弄27號 
大牌烤肉飯(內湖),[內湖區] 台北市內湖區成功路4段214巷2弄1號 
鬍鬚張南京三民店,[松山區] 台北市松山區南京東路五段227號 
COCO內湖成功店,[內湖區] 台北市內湖區成功路四段59之1號1樓 
高渼全自助餐,台北市木新路3段199號 
一家人雞腿王,[內湖區] 台北市內湖區康樂街72巷4號 
長勝君捲蛋餅,[松山區] 台北市松山區興安街214號 
鐵道便當,台北市基隆路一段360號-2 
一品美食 - 永吉店,[信義區] 台北市信義區永吉路104巷143號 
頂好紫琳蒸餃館 - 忠孝館,[大安區] 台北市大安區忠孝東路四段97號 
春陽茶事-大安店,[大安區] 台北市大安區信義路三段192號 
圓石禪飲(士林大北店),[士林區] 台北市士林區大北路15號 
悟饕養生飯包(士林文昌店),[士林區] 台北市士林區文昌路10號 
老兄快餐,[士林區] 台北市士林區美崙街45號
香港鑫記,[士林區] 台北市士林區中正路377號 
快樂懷舊排骨內湖站,[內湖區] 台北市內湖區內湖路一段411巷19弄9號一樓 
旺來咖啡,台北市南京東路三段335巷13-1號 
忠順燒臘便當,[木柵區] 台北市木柵區忠順街一段127號 
開丼(內湖店)-2018,[內湖區] 台北市內湖區內湖路一段360巷2-1號2F 
墨汁雞排 公館店,[中正區] 台北市中正區汀州路三段265號 
龍一放山雞肉飯,台北市松山路441號 
賢記熱炒(大直),台北市大直街44號 
永昌番茄牛肉麵,[中山區] 台北市中山區大直街34巷2號 
池上便當木新店,台北市木新路2段265號 
家鄉碳烤雞排(內湖),台北市內湖路康寧路一段48巷1號 
50嵐 微風松高店,[信義區] 台北市信義區松高路16號B2 
慈行創意鍋燒,[內湖區] 台北市內湖區瑞光路311號 
內湖巨林美而美,[內湖區] 台北市內湖區 
韓川堤,[松山區] 台北市松山區南京東路四段133巷 
御守今川燒,[內湖區] 台北市內湖區內湖路一段425號 
COMEBUY市府店,[信義區] 台北市信義區忠孝東路5段165巷5號 
無敵水餃(虎林街),[信義區] 台北市信義區虎林街164巷3號 
花果工坊,台北市大安路一段22號 
我們咖哩(內湖),台北市內湖路一段323巷4弄8號 
九九食坊,[中山區] 台北市中山區遼寧街101巷16號 
早吧MORNING BAR,[士林區] 台北市士林區美崙街32號 
大苑子(實踐大學店),[中山區] 台北市中山區大直街63號 
鬍鬚張(大直北安店),台北市北安路631號1樓 
有省錢日式丼飯(芝山店),[士林區] 台北市士林區至誠路二段28號 
發記港式燒臘快餐,台北市民生西路45巷3弄15號 
寶飽煲,[士林區] 台北市士林區福壽街3號 
金仙蝦捲飯,[士林區] 台北市士林區福德路25號 
洪媽媽簡餐,[士林區] 台北市士林區臨溪路70號. 
我和一心日本咖哩麵包,[松山區] 台北市松山區民生東路四段55巷1號 
大象愛吃沙威瑪,[中山區] 台北市中山區四平街29號 
克莉蒙汀麵包生活館(信義),[大安區] 台北市大安區信義路四段149-1號 
YOLO's Cafe 合江店,[中山區] 台北市中山區合江街182號 
蟹老闆手工蔥油餅,台北市 內湖路一段737巷31號 
Blue Deer布鹿 (內湖店),[內湖區] 台北市內湖區內湖路一段415號 
大苑子茶飲(莊敬店),[信義區] 台北市信義區莊敬路343號 
木子豆奶輕食,[中山區] 台北市中山區錦州街 
富順麵館,[中山區] 台北市中山區合江街8號 
大嗑(2018-03-12更新),[中正區] 台北市中正區濟南路二段18號-3 
大嗑,[中正區] 台北市中正區濟南路二段18號-3 
木村屋烘培坊（國泰仁愛醫院旁）,[大安區] 台北市大安區仁愛路四段266巷10號 
8%ice tea & milk,[內湖區] 台北市內湖區內湖路一段309號 
江記排骨飯館(蘭香排骨),[內湖區] 台北市內湖區內湖路一段93之1號 
真味園,台北市通化街261號 
萊客潤餅捲(內湖),[內湖區] 台北市內湖區內湖路一段737巷21號旁 
味真香便當專賣店,台北市通化街261號 
JOOCE Nut Mylk Tea 堅,[大安區] 台北市大安區復興南路二段11-1號
吾家味涼麵,[內湖區] 台北市民權東路六段90巷14號（三民國中對面巷中）
海之味-傳統小吃,[內湖區] 台北市內湖區內湖路一段323巷20弄1號
台灣新雞王(景美店),[文山區] 台北市景美區景文街58號
olé tapas Bar,[大安區] 安和路一段109巷4號一樓
食在二十三番,"[文山區] 台北市文山區羅斯福路六段455巷23號1樓, 116 Taipei City"
老先覺麻辣窯燒鍋 (台北內湖店),"[內湖區] 台北市內湖區內湖路二段388號, 114 Taipei City"
渣男 Taiwan Bistro (台北木柵店),"[文山區] 台北市文山區萬芳路9-1號, 116 Taipei City"
重熙老麵,"[中正區] 台北市中正區廣州街8巷7號, 100 Taipei City"
台灣鹽酥雞 (台北大直總店),"[中山區] 台北市中山區北安路530號, 104 Taipei City"
翠薪越南餐廳,"[中正區] 台北市中正區羅斯福路四段24巷11號, 100 Taipei City"
菊島活生蠔,"[大同區] 台北市大同區平陽街22號, 103 Taipei City"
Light Bistro 路燈咖啡 (台北公館店),"[中正區] 台北市中正區羅斯福路三段244巷10弄19號, 100 Taipei City"
Light Bistro 路燈咖啡 (台北師大店),"[大安區] 台北市大安區浦城街4號, 106 Taipei City"
紐澳良小廚 (台北林森店),"[中正區] 台北市中正區林森南路2號, 100 Taipei City"
翠園越南餐廳,"[大安區] 台北市大安區新生南路三段20之3號, 106 Taipei City"
渣男 Taiwan Bistro (台北信義店),"[信義區] 台北市信義區信義路五段150巷315弄12號, 110 Taipei City"
紐澳良小廚 (台北象山店),"[信義區] 台北市信義區信義路五段150巷14弄16號, 110 Taipei City"
翠林越南餐廳,"[大安區] 台北市大安區忠孝東路三段10巷16號, 106 Taipei City"
紐澳良小廚 (台北世貿店),"[信義區] 台北市信義區基隆路二段81號, 110 Taipei City"
台灣鹽酥雞 (台北通化店),"[大安區] 台北市大安區通化街77號, 104 Taipei City"
