豬肉鍋(沙茶 or原味)
牛肉鍋(沙茶 or原味)
海鮮鍋
泡菜鍋
大腸臭臭鍋
麻辣鴨血鍋
昆布味噌鍋
南瓜椰奶鍋
素食鍋
鯛魚鍋(味噌 or原味)
咖哩鍋
牛奶鍋
牛奶起司鍋
黑糖珍珠鮮奶
黑糖珍珠仙草鮮奶
黑糖珍珠綠豆鮮奶
黑糖珍珠布丁鮮奶
黑糖仙草鮮奶
黑糖綠豆鮮奶
黑糖布丁鮮奶
黑糖愛玉鮮奶
黑糖鮮奶
黑糖仙草綠豆鮮奶
黑糖仙草布丁鮮奶
伯爵拿鐵
不知春拿鐵
高山烏龍拿鐵
茉香奶綠
珍珠伯爵拿鐵
仙草伯爵拿鐵
布丁伯爵拿鐵
黑糖冬瓜拿鐵
黑糖布丁冬瓜拿鐵
巧克力拿鐵
巧克力珍珠拿鐵
蓋世伯爵紅
蓋世茉香綠
蓋世不知春
蓋世烏龍
蓋世抹茶
蓋世朱古力
蓋世Coffee
泰泰鮮奶茶
泰泰珍珠鮮奶茶
宇治抹茶
珍珠宇治抹茶
蜂蜜菊花茶
蜂蜜檸檬菊花茶
祖傳黑糖烏梅蜜
黑糖烏梅檸檬蜜
黑糖珍珠
黑糖仙草
黑糖綠豆
黑糖冬瓜
黑糖冬瓜檸檬
黑糖冬瓜珍珠
黑糖冬瓜仙草
黑糖冬瓜檸檬珍珠
黑糖冬瓜檸檬愛玉
黑糖冬瓜ＱＱ凍
檸檬紅茶
檸檬青茶
百香綠茶
葡萄柚綠茶
葡萄柚檸檬綠茶
柳橙綠茶
荔枝綠茶
金桔檸檬
百香雙響
黑糖伯爵紅
茉莉花茶
高山烏龍
不知春茶
黑糖檸檬
黑糖檸檬珍珠
黑糖檸檬愛玉
黑糖檸檬仙草
黑糖桂紅薑母茶
得獎咖啡
有機公平交易咖啡
低因得獎咖啡
尊爵咖啡
豐饒咖啡
原味
肉桂葡萄乾
巧克力
奶油起司
抹茶栗子
胡麻紅豆
豆乳
小紅莓
伯爵茶
新鮮芋頭
決明大麥
茉香綠茶
大正紅茶
初露青茶
高峰烏龍綠
英倫伯爵紅茶
◎※青採翠玉
◎※鹿谷黃金烏龍
◎※小山迎露
伯爵紅茶拿鐵
大正紅茶拿鐵
綠茶拿鐵
烏龍茶拿鐵
青茶拿鐵
麥茶拿鐵
珍珠紅茶拿鐵
布丁紅茶拿鐵
仙草凍紅茶拿鐵
紅豆紅茶拿鐵
※珍珠鮮奶
※手炒黑糖鮮奶
※大甲芋頭鮮奶
◎草莓鮮奶
可可亞鮮奶
出雲抹茶鮮奶
※冬瓜鮮奶
布丁鮮奶
仙草凍鮮奶
紅豆鮮奶
┼桂圓鮮奶
大正紅茶鮮豆奶
伯爵紅茶鮮豆奶
綠茶鮮豆奶
青茶鮮豆奶
麥茶鮮豆奶
烏龍鮮豆奶
珍珠紅茶鮮豆奶
布丁紅茶鮮豆奶
紅豆紅茶鮮豆奶
仙草凍紅茶鮮豆奶
出雲抺茶鮮豆奶
※冬瓜鮮豆奶
布丁鮮豆奶
※原鄉冬瓜茶
※冬瓜青茶
※蜂農花蜜茶
冰糖落神梅(現熬)
◎養樂多綠
甘蔗青茶
◎蔓梅雙果醋
◎香柚綠茶
◎青檸香茶
冬瓜檸檬
金桔檸檬
◎冰萃檸檬
┼桂圓紅棗茶
┼阿文脆梅綠(季節限定/限量)
◎┼仙人掌冰茶
┼珍珠仙人掌
魔王雞排
魔王雞腿丁
魔王雞翅
魷魚
豬大骨河粉
生牛肉河粉
熟牛肉河粉
牛肉丸河粉
豬肉河粉
雞肉河粉
豬腳河粉
