煙燻雞腿
日式豬排
醬燒豬排
蒜泥白肉
宮保雞丁
三杯雞
洋蔥炒肉絲
雞排
旗魚排
雙拼(蒜泥白肉+三杯雞/通保雞丁)
招牌合菜
原味蛋餅
培根蛋餅
火腿蛋餅
蔬菜蛋餅
肉鬆蛋餅
起司蛋餅
玉米蛋餅
熱狗蛋餅
鮪魚蛋餅
香雞蛋餅
薯餅蛋餅
花枝蛋餅
鮮蝦蛋餅
鱈魚蛋餅
豬排蛋餅
燻雞蛋餅
檸檬雞柳蛋餅
原味卡拉蛋餅
辣味卡拉蛋餅
西西里雞腿蛋餅
厚切牛肉蛋餅
煎蛋漢堡
火腿蛋堡
起司蛋堡
肉鬆蛋堡
玉米蛋堡
培根蛋堡
漢堡蛋
鮪魚蛋堡
香雞蛋堡
花枝蛋堡
鮮蝦蛋堡
鱈魚蛋堡
豬排蛋堡
燻雞蛋堡
檸檬雞柳蛋堡
總匯堡
原味卡拉蛋堡
辣味卡拉蛋堡
西西里雞腿蛋堡
厚切牛肉蛋堡
烤生菜吐司
煎蛋吐司
火腿蛋吐司
起司蛋吐司
肉鬆蛋吐司
培根蛋吐司
玉米蛋吐司
漢堡肉蛋吐司
鮪魚蛋吐司
香雞蛋吐司
薯餅蛋吐司
花枝蛋吐司
鮮蝦蛋吐司
鱈魚蛋吐司
豬排蛋吐司
燻雞蛋吐司
檸檬雞柳蛋吐司
原味卡拉蛋吐司
辣味卡拉蛋吐司
西西里雞腿蛋吐司
厚切牛肉蛋吐司
巧克力吐司
花生吐司
草莓吐司
蒜味吐司
椰香吐司
藍莓吐司
雞腿排便當
醬燒雞柳便當
菜多多便當
盡力秋刀魚便當
就是排骨便當
鹹豬肉便當
手工圓仔冰
手工麵茶冰
招牌八寶冰
鳳梨冰
芒果布丁牛奶冰（季節限定）
巧克力香蕉牛奶冰（季節限定）
草莓布丁牛奶冰（季節限定）
紅豆牛奶冰
紅豆湯（冰/熱）
花生湯（冰/熱）
綠豆湯（冰/熱）
桂圓湯（冬季限定）
燒仙草（冬季限定）
仙草奶凍
麵茶
三色粉粿
高麗菜豬肉
綠韭菜豬肉
韭黃豬肉
玉米豬肉
"宙斯果霸木瓜牛奶
內含黑柿、紅肉木瓜，不僅能助消化、解便秘， 新鮮現打，香醇濃郁。"
"夏日果霸芒果牛奶
【夏季限定】內含芒果，富有營養素，維持白嫩皮膚。夏日限定，嚴選愛文 。"
"冬季果霸草莓牛奶
【冬季限定】對低少冰；內含大湖草莓，富含有機酸，不但能夠增強抵抗力。冬日限定，濃郁草莓香，獨特的口感。"
"笑嘻嘻西瓜牛奶
內含紅肉西瓜，富有的β-胡蘿蔔素，可以在體內轉化成維生素A，能使皮膚保持水潤，對抗皮膚老化。冰冰涼涼，消暑聖品。"
"金蕉芭娜娜牛奶
內含台中產『山蕉』，膳食纖維可促進腸蠕動，還有豐富果寡糖，促進消化能力。滿滿蕉香味，滿滿幸福味。"
"白雪蘋果牛奶
內含蘋果，本身屬鹼性，可以中和酸性組織和食物，微酸微甜好滋味，一日一杯，開心一日。"
"三高慢走酪梨奶
內含酪梨的維生素E，是一種強效的抗氧化物，可減緩老化過程，並預防心臟疾病和多種不同的癌症發生。新鮮酪梨加上布丁去腥，濃郁好滋味。"
"夏日果霸芒果汁
【夏季限定】內含芒果，富有營養素，維持白嫩皮膚。夏日限定，嚴選愛文 。"
"冬季果霸草莓汁
【冬季限定】最低少冰；內含大湖草莓，富含有機酸，不但能夠增強抵抗力。冬日限定，濃郁草莓香，獨特的口感。"
"笑嘻嘻西瓜汁
內含紅肉西瓜，富有的β-胡蘿蔔素，可以在體內轉化成維生素A，能使皮膚保持水潤，對抗皮膚老化。冰冰涼涼，消暑聖品。"
"奇異果博士
最低少冰；內含奇異果，富含豐富維生素、礦物質及豐富的膳食纖維之外；更富含其他水果少見的葉酸、酵素、胡蘿蔔素、葉黃素、氨基酸等營養成分，超營養。"
"奇異蘋果博士
奇異果蘋果MIX，微酸微甜，補充維生素C，消除疲勞。維護心血管健康，對高血壓、心血管疾病有防治的作用。"
"熱情百香果汁
內含百香果，富含維生素C，能有效提高人體免疫，有 「果汁之王」的美稱。"
"蕾夢女神飲
內含檸檬，富含維生素C能，防止皮膚色素沉澱， 有美白潤膚的作用。"
"蕾夢女神的秘密
檸檬蜂蜜MIX，微酸微甜，初戀的感覺。"
"火龍蕾夢好甜蜜
檸檬火龍果MIX，看起來不搭的絕配，喜歡挑戰不一樣的你不如嚐試一杯。"
夏日果霸芒果多多
冬季果霸草莓多多
白雪蘋果多多
奇異博士智多多
熱情百香果多多
蕾夢女神戀多多
"古早味麵茶
台灣古早味，口口人情味"
"古早味麵茶牛奶
古早味麵茶，搭配牛奶，僅此一間，絕無僅有。"
"芋仔牛奶
內含大甲芋頭，芋香尬牛奶，綿密芋頭，真實奶香。"
"芝麻牛奶
內含黑芝麻，延年益壽。"
"杏仁牛奶
限熱飲；女生必喝，抗初老美白飲品"
"薏仁牛奶
每天60克薏仁，可降膽固醇。老A，今天要吃薏仁喔。"
"綠豆沙
限冰飲；內含綠豆，解暑、清熱、解毒、好喝。"
"綠豆沙牛奶
限冰飲；綠豆，解暑、清熱、解毒，加奶更濃。"
"綠豆沙薏仁牛奶
限冰飲"
"紅豆沙牛奶
內含紅豆，可以補血、促進血液循環、增強抵抗力。好喝。"
紅豆沙薏仁牛奶
OREO巧克力牛奶
"OREO巧克力冰沙
限冰飲；OREO脆片，香醇巧克力冰沙，濃郁鮮奶油。"
金讚!葡萄柚綠茶
仲夏水果滿滿茶
窈窕纖C水果茶
"金桔檸檬茶
黑糖珍珠，甜而不膩，濃郁牛奶。"
爺爺泡的紅茶
爺爺泡的綠茶
雲朵奶蓋紅茶
雲朵奶蓋綠茶
奶奶煮的奶茶
紅茶拿鐵
真Q珍珠奶茶
相思豆珍珠奶茶
黑糖珍Q厚奶
"美式咖啡
嚴選阿拉比卡咖啡豆，現磨現煮，風味最好。"
"雲朵黑咖啡
限冰飲"
"摩卡咖啡
現磨咖啡，濃郁巧克力醬，喜歡獨特的你怎麼能錯過？"
"焦糖瑪奇朵
焦糖風味，迷人香味。"
"拿鐵咖啡
嚴選阿拉比卡咖啡豆，香醇牛奶，給你一天好活力。"
"榛果拿鐵
榛果香，淡淡的香味，適合低調的你。"
"夏日酷爽芒果雪山
嚴選愛文芒果、特製煉乳醬、牛奶雪花冰、冰淇淋、奶酪"
"冬季吹雪草莓雪山
新鮮大湖草莓、特製煉乳醬、牛奶雪花冰、冰淇淋、奶酪"
"焦香樂園巧克雪山
台中焦、特製煉乳醬、牛奶雪花冰、冰淇淋、奶酪"
"金珠奶茶雪山
黑糖熬煮珍珠、特製煉乳醬、奶茶雪花冰、冰淇淋、奶酪"
"古早味麵茶雪山
台灣古早味麵茶、特製煉乳醬、牛奶雪花冰、冰淇淋、奶酪"
"宇治金時雪山
嚴選蜜紅豆、特製煉乳醬、抹茶雪花冰、冰淇淋、奶酪"
"哈密哈尼雪山
嚴選紅肉哈密瓜、特製煉乳醬、牛奶雪花冰、冰淇淋、奶酪"
"火龍蜜妮粉紅雪山
台灣南部嚴選紅肉火龍果、特製煉乳醬、牛奶雪花冰、冰淇淋、奶酪"
夏日芒果舒芙蕾
冬季草莓舒芙蕾
黑糖珍珠舒芙蕾
原味蜂蜜舒芙蕾
香蕉巧克力舒芙蕾
原味嫩煎豬排起司吐司
勁辣嫩煎豬排起司吐司
奔跑吧!牛肉起司瀑布吐司
瑪格麗特起司瀑布吐司
現炸香脆薯條
麥克吃的雞塊
青檸香酥雞翅
好多汁雞米花
馬茲瑞拉起司條
原味月亮蝦餅
厚切月亮蝦餅
雪花牛丼
梅花豬丼
經典雞丼
蒲燒鯛魚
牛魔王丼
豬元帥丼
雞滿福丼
泡菜牛五花丼
泡菜梅花豬丼
泡菜經典雞丼
壽司米飯
純素便當(限外送)
古早味瓜仔肉飯(含三樣配菜)
招牌鍋（沙茶）-鍋燒麵
招牌鍋-烏龍麵
招牌鍋-拉麵
招牌鍋-冬粉
招牌鍋-飯
番茄鍋-鍋燒麵
番茄鍋-烏龍麵
番茄鍋-拉麵
番茄鍋-冬粉
番茄鍋-飯
南瓜鍋-鍋燒麵
南瓜鍋-烏龍麵
南瓜鍋-拉麵
南瓜鍋-冬粉
南瓜鍋-飯
龍骨鍋（日式牛奶）-鍋燒麵
龍骨鍋（日式牛奶）-烏龍麵
龍骨鍋（日式牛奶）-拉麵
龍骨鍋（日式牛奶）-冬粉
龍骨鍋（日式牛奶）-飯
韓式泡菜鍋-鍋燒麵
韓式泡菜鍋-烏龍麵
韓式泡菜鍋-拉麵
韓式泡菜鍋-冬粉
韓式泡菜鍋-飯
