,0
0,茉莉鮮綠茶
1,阿薩姆紅茶
2,安溪鐵觀音
3,四季青茶
4,炭培烏龍茶
5,冬瓜茶
6,百香綠茶
7,蜜香冰茶
8,蜂蜜綠茶
9,冬瓜青茶
10,冬瓜鐵觀音
11,養樂多綠
12,冰梅綠
13,冰梅凍飲
14,蔓越莓冰醋
15,岩鹽綠茶
16,岩鹽紅茶
17,岩鹽鐵觀音
18,岩鹽青茶
19,岩鹽烏龍茶
20,岩鹽冬瓜茶
21,岩鹽可可
22,檸檬汁
23,檸檬綠茶
24,檸檬紅茶
25,檸檬養樂多
26,冬瓜檸檬
27,金桔檸檬
28,蜂蜜檸檬蘆薈
29,奶茶
30,奶綠
31,觀音奶茶
32,烏龍奶茶
33,珍珠奶茶
34,珍珠奶綠
35,可可
36,綠茶拿鐵
37,紅茶拿鐵
38,觀音拿鐵
39,冬瓜拿鐵
40,黑糖珍珠鮮奶
41,薑母茶
42,黑糖薑母茶
43,薑汁奶茶
44,薑汁拿鐵
45,岩鹽薑母茶
46,芋頭牛奶
47,柳橙綠茶(夏季:香吉士 冬季:柳丁)
48,金鑽鳳梨冰茶
49,梅香芭樂(4月~10月)(為保芭樂新鮮只做到微冰)
50,珍珠
51,椰果
52,蘆薈
53,布丁
0,今日特餐
1,雞錦飯
2,焢肉飯
3,排骨飯
4,牛腩飯
0,原始菜單
1,日式照燒雞腿(烤)
2,日式照燒雞排(烤)
3,日式燒肉(烤)
4,香酥炸雞腿
5,炸蝦
6,藍帶豬排
7,親子丼
8,蒲燒鯛魚肚(烤)
9,起司牛肉蓋飯
10,起司雞肉蓋飯
11,起司豬肉蓋飯
12,起司泡菜牛肉
13,起司泡菜雞肉
14,起司泡菜豬肉
15,泡菜牛肉
16,泡菜雞肉
17,泡菜豬肉
18,牛肉蓋飯
19,雞肉蓋飯
20,豬肉蓋飯
21,豆皮蓋飯
22,卡菲豬排
23,卡菲雞排
24,起司醬豬排
25,起司醬雞排
26,海苔豬排
27,海苔雞排
28,泰式豬排
29,泰式雞排
30,美式豬排
31,美式雞排
32,原味豬排
33,原味雞排
34,咖哩豬排
35,咖哩雞排
36,黑胡椒豬排
37,黑胡椒雞排
38,麻婆豬排
39,麻婆雞排
40,咖哩飯
41,麻婆飯
42,墨西哥辣雞
