menu
"
                                  煙燻雞腿
                                  
                                  
"
"
                                  日式豬排
                                  
                                  
"
"
                                  醬燒豬排
                                  
                                  
"
"
                                  蒜泥白肉
                                  
                                  
"
"
                                  宮保雞丁
                                  
                                  
"
"
                                  三杯雞
                                  
                                  
"
"
                                  洋蔥炒肉絲
                                  
                                  
"
"
                                  雞排
                                  
                                  
"
"
                                  旗魚排
                                  
                                  
"
"
                                  雙拼(蒜泥白肉+三杯雞/通保雞丁)
                                  
                                  
"
"
                                  招牌合菜
                                  
                                  
"
"
                                  原味蛋餅
                                  
                                  
"
"
                                  培根蛋餅
                                  
                                  
"
"
                                  火腿蛋餅
                                  
                                  
"
"
                                  蔬菜蛋餅
                                  
                                  
"
"
                                  肉鬆蛋餅
                                  
                                  
"
"
                                  起司蛋餅
                                  
                                  
"
"
                                  玉米蛋餅
                                  
                                  
"
"
                                  熱狗蛋餅
                                  
                                  
"
"
                                  鮪魚蛋餅
                                  
                                  
"
"
                                  香雞蛋餅
                                  
                                  
"
"
                                  薯餅蛋餅
                                  
                                  
"
"
                                  花枝蛋餅
                                  
                                  
"
"
                                  鮮蝦蛋餅
                                  
                                  
"
"
                                  鱈魚蛋餅
                                  
                                  
"
"
                                  豬排蛋餅
                                  
                                  
"
"
                                  燻雞蛋餅
                                  
                                  
"
"
                                  檸檬雞柳蛋餅
                                  
                                  
"
"
                                  原味卡拉蛋餅
                                  
                                  
"
"
                                  辣味卡拉蛋餅
                                  
                                  
"
"
                                  西西里雞腿蛋餅
                                  
                                  
"
"
                                  厚切牛肉蛋餅
                                  
                                  
"
"
                                  煎蛋漢堡
                                  
                                  
"
"
                                  火腿蛋堡
                                  
                                  
"
"
                                  起司蛋堡
                                  
                                  
"
"
                                  肉鬆蛋堡
                                  
                                  
"
"
                                  玉米蛋堡
                                  
                                  
"
"
                                  培根蛋堡
                                  
                                  
"
"
                                  漢堡蛋
                                  
                                  
"
"
                                  鮪魚蛋堡
                                  
                                  
"
"
                                  香雞蛋堡
                                  
                                  
"
"
                                  花枝蛋堡
                                  
                                  
"
"
                                  鮮蝦蛋堡
                                  
                                  
"
"
                                  鱈魚蛋堡
                                  
                                  
"
"
                                  豬排蛋堡
                                  
                                  
"
"
                                  燻雞蛋堡
                                  
                                  
"
"
                                  檸檬雞柳蛋堡
                                  
                                  
"
"
                                  總匯堡
                                  
                                  
"
"
                                  原味卡拉蛋堡
                                  
                                  
"
"
                                  辣味卡拉蛋堡
                                  
                                  
"
"
                                  西西里雞腿蛋堡
                                  
                                  
"
"
                                  厚切牛肉蛋堡
                                  
                                  
"
"
                                  烤生菜吐司
                                  
                                  
"
