,0
0,原味
1,肉桂葡萄乾
2,巧克力
3,奶油起司
4,全麥
5,柑橘
6,抹茶紅豆
7,伯爵茶
0,牛肉麵
1,牛肉麵大
2,牛肉細粉
3,牛肉細粉大
4,牛肉乾拌麵
5,牛肉乾拌麵大
6,牛三寶麵
7,牛三寶麵大
8,鮮蝦餛飩麵
9,鮮蝦餛飩麵大
10,炸醬麵
11,炸醬麵大
12,私房麵
13,私房麵大
14,麻醬麵
15,麻醬麵大
16,酸辣乾麵
17,酸辣乾麵大
18,乾麵
19,乾麵大
20,湯麵
21,湯麵大
22,牛腱肉
23,牛筋
24,牛肚
25,豬腱肉
26,豬耳朵
27,豬舌頭
28,豆干
29,海帶
30,魯鴨蛋
31,豆包
32,魯肉飯
33,古早味肉丸子飯
34,鮮蝦紅油抄手
35,牛肉湯
36,鮮蝦餛飩湯
37,魚丸湯
38,香菇買丸湯
39,干絲
40,小黃瓜
41,海帶芽
42,特製皮蛋豆腐
43,麻辣雞絲
44,地瓜葉
45,空心菜
46,豆芽菜
0,高麗菜
1,原味鮮肉
2,鮮蝦鮮肉
0,香噴滷肉-牛粒便當
1,軟嫩蒲燒-鯛魚便當
2,營養滿分-秋刀便當
3,蒜頭醬油-豚肉便當
4,湛藍海味-鯖魚便當
5,蒜爆腿排-炸雞便當
6,壽喜風味-燒肉便當
7,樂活蔬食-野菜便當
0,雞腿
1,雞塊
2,雞翅
3,雞米球
4,泰式雞米球
5,檸檬雞柳條
6,紐澳良香雞排
7,泰式雞排
8,紐澳良無骨腿排
9,泰式無骨腿排
10,波霸薯條
11,冠軍小雞塊（5個）
12,洋蔥圈(6個)
13,薯餅(5個)
14,起司條(2個)
15,芋泥薯球(9個)
16,乳酪甜心(2個)
17,泰式酸辣雞翅（桶）
18,全家餐(8塊)
0,小籠湯包
1,紅油抄手
2,人氣蔥油餅
3,牛肉麵
4,牛肉細粉
5,牛肉湯麵
6,雪菜肉絲麵
7,榨菜肉絲麵
8,餛飩湯麵
9,酸辣麵
10,麻辣乾麵
11,福州乾麵
12,酢醬麵
13,肉燥麵
14,麻醬麵
15,牛肉湯餃(高麗菜)
16,牛肉湯餃(韭菜)
17,牛肉湯餃(綜合)
18,酸辣湯餃(高麗菜)
19,酸辣湯餃(韭菜)
20,酸辣湯餃(綜合)
21,麻辣餃(高麗菜)
22,麻辣餃(韭菜)
23,麻辣餃(綜合)
24,水餃10粒(高麗菜)
25,水餃10粒(韭菜)
26,水餃10粒(綜合)
27,咖哩炒飯
28,鮭魚炒飯
29,風味炒餅
30,蝦仁炒飯
31,素炒飯
32,牛肉湯
33,冬蟲燉雞湯
34,山藥排骨湯
35,酸辣湯
36,餛飩湯
37,榨菜肉絲湯
38,脆丸湯
39,青菜蛋花湯
40,紫菜蛋花湯
41,燙青菜
42,牛肉
43,牛肚
44,酸辣泡飯
45,香菇肉粽
46,肉燥飯
0,蚵仔+腸子
1,蚵仔+腸子大
2,蚵仔+鮮肉丸
3,蚵仔+鮮肉丸大
4,腸子+鮮肉丸
5,腸子+鮮肉丸大
6,鮮肉丸麵線
7,鮮肉丸麵線大
8,羊肉麵線
9,羊肉麵線大
10,清麵線
11,清麵線大
12,刈包
13,蚵仔湯
14,腸仔湯
15,豬血湯
16,豬血腸仔湯
17,貢丸湯
18,乾拌腸仔
19,乾拌鮮肉丸
20,美味滷鴨蛋
21,青草茶
22,奶茶
23,麥香紅茶
24,冬瓜茶
0,麵/米粉/冬粉/飯
1,河粉/米苔目
2,焿
3,盤
4,麵/米粉/冬粉/飯大碗
5,河粉/米苔目大碗
6,焿大碗
7,麵/米粉/冬粉/飯
8,河粉/米苔目
9,焿
10,盤
11,麵/米粉/冬粉/飯大碗
12,河粉/米苔目大碗
13,焿大碗
14,麵/米粉/冬粉/飯
15,河粉/米苔目
16,焿
17,麵/米粉/冬粉/飯大碗
18,河粉/米苔目大碗
19,焿大碗
20,4塊
21,7塊
22,麵/米粉/冬粉/飯
23,河粉/米苔目
24,焿
25,麵/米粉/冬粉/飯大碗
26,河粉/米苔目大碗
27,焿大碗
28,麵/米粉/冬粉/飯
29,河粉/米苔目
30,焿
31,麵/米粉/冬粉/飯大碗
32,河粉/米苔目大碗
33,焿大碗
34,麵/米粉/冬粉/飯
35,河粉/米苔目
36,麵/米粉/冬粉/飯大碗
37,河粉/米苔目大碗
38,乾麵/米粉/冬粉
39,乾麵/米粉/冬粉大碗
40,乾河粉/米苔目
41,乾河粉/米苔目大碗
42,肉燥飯
43,肉燥飯大碗
44,肉燥乾麵/米粉/冬粉
45,肉燥乾麵/米粉/冬粉大碗
46,肉燥乾河粉/米苔目
47,肉燥乾河粉/米苔目大碗
48,豆芽菜
49,魯蛋
0,雞腿飯
1,豬腳飯
2,爌肉飯
3,排骨飯
4,蝦捲飯
5,招牌魯肉便當
6,盒菜便當
