烏醋乾麵(小)
烏醋乾麵(大)
香蔥麵(小)
香蔥麵(大)
骨仔肉湯麵
豬心湯麵
魚丸湯麵
豬舌湯麵
青菜湯麵
骨仔肉飯(小)
骨仔肉飯(大)
招牌骨仔肉湯
嘴邊肉湯
豬心湯
豬舌湯
虱目魚丸湯
青菜湯
燙骨仔肉
燙嘴邊肉
燙豬心
燙豬舌
燙青菜
豬頭皮
豆包
豆干
百頁豆腐
油豆腐
豬血糕
素雞
皮蛋豆腐
辣泡蛋
原味6個
起司4個
巧克加4個
原味鬆餅
巧克力鬆餅
花生鬆餅
藍莓鬆餅
草莓鬆餅
蜂蜜鬆餅
椰酥鬆餅
煉乳鬆餅
鮮奶油鬆餅
拿鐵咖啡鬆餅
日式抹茶鬆餅
卡士達鬆餅
起司鬆餅
oreo花生鬆餅
葡萄奶酥鬆餅
紅豆抹茶鬆餅
田園蔬菜鬆餅
香蕉巧克力鬆餅
燻雞肉鬆餅
黑胡椒豬肉鬆餅
鮪魚鬆餅
德國里昂香腸鬆餅
黑胡椒牛鬆餅
海陸總匯鬆餅
夏威夷總匯鬆餅
水果鬆餅
花生厚片土司
草莓厚片土司
藍莓厚片土司
蜂蜜厚片土司
煉乳厚片土司
椰酥厚片土司
巧克力厚片土司
香蒜
日式抹茶
拿鐵咖啡
焗烤玉米厚片
焗烤火腿厚片
焗烤肉鬆厚片
焗烤臘肉厚片
焗烤鮪魚厚片
焗烤雞肉厚片
焗烤夏威夷厚片
焗烤香鬆厚片(奶素)
焗烤田園蔬菜厚片(奶素)
焗烤海陸總匯厚片
焗烤黑胡椒牛厚片
冬瓜茶
極品綠茶
草本紅茶
冬瓜綠茶
奇亞仔紅茶
奇亞仔綠茶
冬瓜檸檬
梅子綠茶
鮮檸檬紅茶/綠茶
鮮柚綠茶
綠茶多多
美式咖啡
拿鐵咖啡
蜂蜜菊花茶
桂圓紅棗茶
黑糖薑母茶
阿華田
黃金柚子茶
蜂蜜金吉檸檬茶
蜂蜜檸檬汁
檸檬多多
鳳梨檸檬
香蕉牛奶
纖檸蘋汁
纖蘋果汁
鳳梨蘋果汁
奇異果汁
蘋果多多
奇異蘋果汁
奇異果香蕉汁
奇異果鳳梨汁
9453(減壓)
紅眼班機(護眼)
珍珠紅茶鮮奶茶
珍珠綠茶鮮奶茶
珍珠冬瓜鮮奶茶
珍珠伯爵鮮奶茶
紅茶拿鐵
綠茶拿鐵
冬瓜拿鐵
伯爵拿鐵
阿華田拿鐵
巧克力拿鐵
鴛鴦咖啡鮮奶
莓果隊長
自體發光
想入啡啡
奇異博士
綠色奇蹟
不老騎士
綠葉方舟
可可跳探戈
線條狂熱分子
黃金豬排丼便當
牛肉咖哩便當
洋蔥牛丼便當
花枝排咖哩便當
鯖魚便當
熊本咖哩便當
洋蔥豚丼便當
香酥雞肉咖哩便當
親子丼便當
黃金豬排咖哩便當
牛肉清湯鍋
豚肉清湯鍋
海鮮清湯鍋
牛肉泡菜鍋
豚肉泡湯鍋
海鮮泡菜鍋
牛肉牛奶鍋
豚肉牛奶鍋
海鮮牛奶鍋
牛肉咖哩鍋
豚肉咖哩鍋
海鮮咖哩鍋
泡菜清湯鍋
檸檬紅茶
蘋果汁
雪碧
可樂
茉香綠茶
大正紅茶
英倫伯爵紅茶
初露青茶
高峰烏龍綠
決明大麥
※青採翠玉
※鹿谷黃金烏龍
※小山迎露
<推薦>珍珠紅茶拿鐵
