雞肉河粉
豬肉河粉
牛肉河粉
魚片河粉
什錦豬肉河粉
什錦牛肉河粉
什錦海鮮河粉
清湯河粉
雞肉米線
豬肉米線
牛肉米線
魚片米線
什錦豬肉米線
什錦牛肉米線
什錦海鮮米線
清湯米線
雞肉冬粉
豬肉冬粉
牛肉冬粉
魚片冬粉
什錦豬肉冬粉
什錦牛肉冬粉
什錦海鮮冬粉
清湯冬粉
雞肉泡麵
豬肉泡麵
牛肉泡麵
魚片泡麵
什錦豬肉泡麵
什錦牛肉泡麵
什錦海鮮泡麵
清湯泡麵
雞肉泡飯
豬肉泡飯
牛肉泡飯
魚片泡飯
什錦豬肉泡飯
什錦牛肉泡飯
什錦海鮮泡飯
清湯泡飯
雞肉烏龍麵
豬肉烏龍麵
牛肉烏龍麵
魚片烏龍麵
什錦豬肉烏龍麵
什錦牛肉烏龍麵
什錦海鮮烏龍麵
清湯烏龍麵
蔬菜涼拌米線
雞絲涼拌米線
豬肉涼拌米線
雞絲粥
豬肉粥
魚片粥
海鮮粥
豬肉湯
牛肉湯
魚片湯
海鮮湯
豬油蔥飯
生菜春捲
蔬菜涼拌
雞絲涼拌
酥炸春捲
茉香綠茶
大正紅茶
英倫伯爵紅茶
初鹿青茶
高峰烏龍綠
決明大麥
◎青採翠玉(無糖去冰)
◎鹿谷黃金烏龍(去冰)
◎小山迎露(去冰)
伯爵紅茶拿鐵(綠/烏/青/麥/大正)
珍珠紅茶拿鐵
布丁紅茶拿鐵
仙草凍紅茶拿鐵
紅豆紅茶拿鐵
珍珠鮮奶(甜度不可調整)
手炒黑糖鮮奶
大甲芋頭鮮奶(甜度不可調整)
◎草莓牛奶
可可亞鮮奶
出雲抹茶鮮奶
冬瓜鮮奶
布丁鮮奶(仙草凍/紅豆)
桂圓鮮奶
大正紅茶鮮豆奶(綠)
大正紅茶鮮豆奶(烏)
大正紅茶鮮豆奶(青)
大正紅茶鮮豆奶(麥)
大正紅茶鮮豆奶(伯爵)
珍珠紅茶鮮豆奶(布丁/仙草凍/紅豆)
出雲抹茶鮮豆奶
冬瓜鮮豆奶
布丁鮮豆奶
原鄉冬瓜茶
冬瓜青茶
蜂農花蜜茶
冰糖洛神梅(現熬)
◎養樂多綠
甘蔗青茶
◎蔓莓雙果醋
◎香柚綠茶
◎青檸香茶
冬瓜檸檬
金桔檸檬
◎冰萃檸檬(冰沙)
*桂圓紅棗茶
*阿文脆梅綠
◎*仙人掌冰茶
*珍珠仙人掌
烤肉便當
鯛魚便當
招牌便當
炸豬排便當
秋刀魚便當
烤鯖魚便當
鹽燒雞腿便當
日式紅燒雞便當
燜燒肉便當
古早味便當
薑汁炒火鍋肉片
烤鮭魚便當
養生素食便當
酪梨壽司
素酪梨壽司
薑汁豬壽司
九州雞肉壽司
青蔬鮮魚壽司
燒肉壽司
炸蝦壽司
軟殼蟹壽司
花壽司
海苔壽司
稻禾壽司
玉子燒壽司
馬鈴薯沙拉
經典綜合壽司
綜合壽司
素綜合壽司
窯烤馬鈴薯 (蛋奶素)
義式烤時蔬 (蛋奶素)
碧砂漁港小卷
白酒五花珍豬
烤雞翅
直送客意拼盤
卡拉布里漁夫鐵鍋
烤餅
每日特選湯品
義式農家蔬菜湯
蕃茄海鮮湯
燕麥綜合沙拉 (素)
凱薩沙拉
芝麻葉沙拉 (蛋奶素)
瘋狂瑪格麗特 (蛋奶素)
松露田園比薩
米蘭比薩
綜合起司比薩
宜蘭好野鴨比薩
關廟鳳梨蝦比薩
雲林珍豬野鴨比薩 (辣)
碧砂小卷比薩 (辣)
煙燻鮭魚比薩
義式燻火腿比薩
義式辣味焗飯
卜派的奶油雞焗飯
奶油芥末雞腿燉飯
漁夫小卷海鮮燉飯 (辣)
堅果香烤雞肉青醬管麵
煙花女海鮮管麵
橄欖油醋義式烤雞
漁夫架拐子
水果雪酪
台南至九如薄餅
焦糖蘋果酥薄餅
榛巧焦香蕉薄餅
素雞腿餐 (素雞排+素火腿)
丸子三兄弟套餐 (香菇丸+水晶餃+大福丸)
療癒菇菇餐 (香菇+杏鮑菇+黑木耳)
海賊果實餐 (南瓜+絲瓜+秋葵)
活力青菜餐 (2種時令青菜)
(牛+牛) 重量級牛排
大塊雪花牛排
大塊牛排
特製牛排
特製豬排
雞腿排
鱈魚排
牛小排
菲力牛排
紐西蘭特選沙朗
(牛+鱈) 海陸特餐
(牛+雞) 雙拼特餐
(蝦+鱈) 鮮味雙拼
鐵板麵
黑胡椒
蘑菇
綜合
玉米濃湯->升級酥皮濃湯
