,0
5,台式酥炸雞腿
6,日式照燒豬排
7,義式迷迭香草腿排
8,鯖魚一夜干
9,鐵路排骨
0,番茄蛤蜊湯烏龍
1,海鮮湯烏龍
2,肉絲湯烏龍
3,蛤蜊絲瓜燴烏龍
4,咖哩豬排燴烏龍
5,咖哩肉絲燴烏龍
6,咖哩牛肉燴烏龍
7,咖哩海鮮湯烏龍
8,咖哩牛肉湯烏龍
9,咖哩肉絲湯烏龍
10,咖哩豬排湯烏龍
11,番茄蛤蜊炒烏龍
12,海鮮炒烏龍
13,肉絲炒烏龍
14,牛肉炒烏龍
15,豬排蛋蓋飯
16,雞肉蛋蓋飯
17,雞腿飯蓋飯
18,牛肉蛋蓋飯
19,鯛魚蛋蓋飯
20,豬排炸蝦蛋蓋飯
21,炸蝦蛋蓋飯
22,蛋包飯
23,豬排蛋包飯
24,炸蝦蛋包飯
25,雞腿蛋包飯
26,豬排炸蝦蛋包飯
27,咖哩炸豬排飯
28,咖哩肉絲燴飯
29,咖哩海鮮燴飯
30,咖哩炸雞排飯
31,咖哩炸雞腿飯
32,咖哩鯛魚排飯
33,咖哩豬排炸蝦飯
34,蛤蜊絲瓜燴飯
35,海鮮燴飯
0,香煎鮭魚排
1,金莎蝦球
2,綠咖哩豬排
3,綠咖哩雞腿排
4,黑胡椒牛肉片
5,泰式辣炒牛肉片
6,椒麻雞腿排
7,照燒雞腿排
8,黑胡椒豬肉片
9,泰式打拋豬肉片
10,三杯杏鮑菇
11,綠咖哩豬肉-辣★
12,塔香三杯雞
13,蒜香雞丁
14,打拋豬-辣★
15,糖醋里肌
16,蔬食蓋飯(五辛素)
17,泰式辣炒牛-辣★★
18,乾煸四季豆
19,腐乳空心菜
20,涼拌酸辣皮蛋
21,涼拌泰式海鮮
22,蒜香炸雞腿塊
23,鹽燒小卷
24,每日例湯
25,可口可樂
26,飛想茶
27,熱高山茶
28,熱爽健美茶
29,熱伯爵紅茶
30,濃韻冷泡茶(阿里山)
31,荔枝氣泡飲
32,芒果氣泡飲
33,熱義式淡咖啡
34,熱可可
35,熱拿鐵
36,熱英式鮮奶茶
37,熱可可拿鐵
38,韓式泡菜
39,百香青木瓜
40,芝麻牛蒡絲
41,隱藏版小菜
0,蝦仁炒飯
1,滷肉飯
2,白飯
3,風味肉排飯
4,虱目魚肚湯
5,鮭魚魚片湯
6,虱目魚皮湯
7,土魠蚵仔湯
8,蚵仔湯
9,土魠魚湯
10,柴魚味噌湯
11,虱目魚丸
12,鱸魚湯
13,鯛魚湯
14,虱目魚肚粥
15,鮭魚魚片粥
16,虱目魚皮粥
17,土魠蚵仔粥
18,吻仔魚粥
19,土魠魚粥
20,蚵仔粥
21,鱸魚粥
22,鯛魚粥
23,地瓜葉
24,大陸妹
25,菠菜
26,空心菜
27,虱目魚肚湯麵
28,土魠魚湯麵
29,海鮮綜合湯麵
30,香酥鯛魚排麵
31,京都肋骨排麵
32,番茄の雞肉麵
33,虱目魚肚便當
34,豬腳筋便當
35,風味肉排便當
36,蝦仁炒飯便當
37,椒鹽炸排骨
38,咖哩鯛魚排
39,咖哩土魠魚
40,咖哩雞腿排
41,鹽燒秋刀魚
42,虱目魚肚
43,清燙虱目魚皮
44,虱目魚頭(2個)
45,清燙蚵仔
46,豬腳筋
47,脆筍
48,風味肉排
49,蝦捲
50,雞捲
51,香腸
52,蝦捲/雞捲/香腸綜合
53,百頁豆腐
54,海帶
55,滷鴨蛋
56,百頁豆腐/海帶/滷鴨蛋綜合
57,蘿蔔乾
58,生魚片(綜合)
59,鮭魚生魚片
60,日本小菜(★號)綜合
61,★黃金白魚
62,★螺肉
63,★南極蝦
64,★黑豆
65,★北歐沙拉
66,粉肝
67,鯊魚煙
68,粉肝/鯊魚煙綜合
69,小卷
70,章魚
71,小卷/章魚綜合
72,魚蛋沙拉
73,冷筍沙拉
74,魚蛋/冷筍沙拉綜合
75,美芹沙拉
76,苦瓜沙拉
77,美芹/苦瓜沙拉綜合
78,綜合生菜沙拉
79,蘆筍沙拉
80,菜豆子
81,韭菜
82,台灣金牌啤酒
83,飲料
0,炭烤雞腿飯
1,炭烤雞排飯
2,炭烤排骨飯
3,烤肉飯
4,烤秋刀魚
5,醬烤鯖魚飯
6,炭烤雞腿炒麵
7,炭烤雞排炒麵
8,炭烤排骨炒麵
9,經典燒肉炒麵
10,烤秋刀魚炒麵
11,醬烤鯖魚炒麵
12,滷雞腿飯
13,炸雞腿飯
14,油雞腿飯
15,炸雞排飯
16,滷排骨飯
17,炸排骨飯
18,腿庫飯
19,蔥爆豬柳飯
20,蔥爆牛肉飯
21,蔥爆羊肉飯
22,蒜泥白肉飯
23,紅目鰱飯
24,荷包蛋
0,極品豆漿
1,紅茶豆漿
2,黑芝麻豆漿
3,薏仁豆漿
4,極醇黑豆漿
5,仁泉奶茶
6,洛神花茶
7,養生黑木耳
8,冰釀銀耳露
9,焦糖豆花
10,黑糖豆花
11,豆漿豆花
12,家庭號豆花
13,紅豆
14,花生
15,薏仁
16,家庭號餡料
